iteration,Adam(lr=0.0001)_q25,Adam(lr=0.0001)_q50,Adam(lr=0.0001)_q75,Adam(lr=0.001)_q25,Adam(lr=0.001)_q50,Adam(lr=0.001)_q75,Adam(lr=0.01)_q25,Adam(lr=0.01)_q50,Adam(lr=0.01)_q75,Adam(lr=0.1)_q25,Adam(lr=0.1)_q50,Adam(lr=0.1)_q75,Adam(lr=1.0)_q25,Adam(lr=1.0)_q50,Adam(lr=1.0)_q75,Adam(lr=10.0)_q25,Adam(lr=10.0)_q50,Adam(lr=10.0)_q75,BFGS_q25,BFGS_q50,BFGS_q75
50,0.985490471124649,0.9883287250995636,0.9903933554887772,0.8626392185688019,0.8890243470668793,0.9072718620300293,0.2139468491077423,0.29315923154354095,0.36897747963666916,0.002560997672844678,0.003884880687110126,0.006008795695379376,0.002187557576689869,0.0032870625145733356,0.00474960554856807,0.13308753818273544,0.3823687732219696,0.8686476349830627,0.0,0.0,5.9529113689239335e-27
51,0.9851966798305511,0.9880916774272919,0.9901982098817825,0.8600099831819534,0.8868736922740936,0.9054621756076813,0.2074854113161564,0.286150187253952,0.36240797489881516,0.002443492121528834,0.0035863106604665518,0.005562622915022075,0.0017820314096752554,0.0029478586511686444,0.004168807179667056,0.05678320303559303,0.15777937322854996,0.37326885759830475,0.0,0.0,1.4053521712781236e-29
52,0.9849028140306473,0.9878547191619873,0.9900031685829163,0.8573878705501556,0.8847277462482452,0.9036560356616974,0.2003607340157032,0.2791810929775238,0.35527053475379944,0.0022039979230612516,0.0033561127493157983,0.005169346113689244,0.0016756557452026755,0.0025287040043622255,0.003657287685200572,0.17602426558732986,0.2795971930027008,0.3949018344283104,0.0,0.0,2.5957454333953884e-31
53,0.9846090972423553,0.9876177310943604,0.9898081570863724,0.8547729253768921,0.8825863897800446,0.901853084564209,0.1933015137910843,0.2732144892215729,0.3482430502772331,0.0019832798279821873,0.0031276970403268933,0.004828867502510548,0.0015677883639000356,0.002335179946385324,0.00352613627910614,0.2740776762366295,0.5082866549491882,0.7917488813400269,0.0,0.0,6.286137691633583e-33
54,0.9843154698610306,0.987380862236023,0.9896130710840225,0.8521651178598404,0.8804498016834259,0.9000876396894455,0.18788766860961914,0.2673405110836029,0.3411373794078827,0.001845939492341131,0.002894754521548748,0.004715601913630962,0.0013896396267227829,0.002241917420178652,0.003125794231891632,0.19253642484545708,0.38379549980163574,0.7905209213495255,0.0,0.0,2.2574805596773102e-33
55,0.9840220808982849,0.9871440827846527,0.9894181191921234,0.8495645374059677,0.8783179223537445,0.8983553498983383,0.18271033093333244,0.2616209387779236,0.3342098891735077,0.001706277544144541,0.002664074767380953,0.004357004538178444,0.0013439643080346286,0.001888139871880412,0.002849381882697344,0.079968037083745,0.21374353021383286,0.5018826127052307,0.0,0.0,1.6471110414023396e-33
56,0.9837285429239273,0.9869073033332825,0.9892233163118362,0.8469709008932114,0.8761906623840332,0.8966260552406311,0.17738071084022522,0.2565251737833023,0.3266882300376892,0.0014973534853197634,0.0023994017392396927,0.004151318687945604,0.0011583935120142996,0.0017628673813305795,0.002519358356948942,0.04304078686982393,0.10131005197763443,0.21757620200514793,0.0,0.0,1.0281186062567404e-33
57,0.9834353923797607,0.9866705238819122,0.9890283793210983,0.8443843275308609,0.8740680515766144,0.8948733508586884,0.17240135371685028,0.2516259402036667,0.3201262056827545,0.001392367557855323,0.0022167129209265113,0.003942352021113038,0.0009987571102101356,0.0016100980574265122,0.0023469983716495335,0.12803510576486588,0.19977764785289764,0.26393457502126694,0.0,0.0,6.6877703158469725e-34
58,0.9831420183181763,0.9864338636398315,0.9888335466384888,0.8418050706386566,0.8719501495361328,0.8931250721216202,0.16777681186795235,0.2448873519897461,0.3143502175807953,0.0012675458274316043,0.002009553136304021,0.0037778255064040422,0.0009159763721982017,0.0014458895311690867,0.0021276776678860188,0.16543126478791237,0.32065683603286743,0.5185431391000748,0.0,0.0,5.242257565801113e-34
59,0.9828490018844604,0.9861972033977509,0.9886387139558792,0.8392607420682907,0.8698369562625885,0.8913811594247818,0.1631852276623249,0.2388610914349556,0.30843038111925125,0.0011418551439419389,0.0018339169910177588,0.003630091086961329,0.0008400098595302552,0.0012911283993162215,0.0019503315270412713,0.10203292034566402,0.22646990418434143,0.4864903464913368,0.0,0.0,3.532049029697443e-34
60,0.9825559258460999,0.9859604835510254,0.9884438663721085,0.8367422819137573,0.8677283823490143,0.8896350413560867,0.15781135112047195,0.23380621522665024,0.30243656784296036,0.0010574869811534882,0.0016893275897018611,0.0034587084082886577,0.0008105630258796737,0.0012206475366838276,0.0016881147457752377,0.039519667625427246,0.11020886525511742,0.26124176383018494,0.0,0.0,1.6762534232471769e-34
61,0.982263058423996,0.9857240617275238,0.9882492125034332,0.8342524468898773,0.8656245172023773,0.8878757804632187,0.15340843424201012,0.22854497283697128,0.29669666290283203,0.00099547317950055,0.0015724911354482174,0.0032817769097164273,0.0007556853524874896,0.001117631560191512,0.0016458938480354846,0.031893628649413586,0.07160951569676399,0.13224124908447266,0.0,0.0,1.402334770501775e-34
62,0.9819702953100204,0.9854874908924103,0.9880545139312744,0.8317848294973373,0.8635252118110657,0.8861200958490372,0.14908217266201973,0.2235259860754013,0.290702149271965,0.0009076670685317367,0.0014461468090303242,0.0031027148361317813,0.0006443099118769169,0.0009626417304389179,0.0014230349333956838,0.09465536661446095,0.14769458025693893,0.19705577939748764,0.0,0.0,9.998444142337068e-35
63,0.9816774278879166,0.9852510988712311,0.9878598600625992,0.8293264508247375,0.8614306449890137,0.8843678832054138,0.14488131552934647,0.21883462369441986,0.2848351448774338,0.0008066374575719237,0.0014166057226248085,0.002922879357356578,0.0005723773501813412,0.0008650020172353834,0.0013269803312141448,0.08598553948104382,0.1859370321035385,0.33655013889074326,0.0,0.0,4.495875591036578e-35
64,0.981384739279747,0.9850147366523743,0.9876653105020523,0.8268774747848511,0.8593406677246094,0.8826194703578949,0.14070332422852516,0.21430939435958862,0.2796820104122162,0.0007450059056282043,0.0013164420961402357,0.0027372814947739244,0.0005241447215666994,0.0007954872853588313,0.001188084075693041,0.04593945760279894,0.11807824671268463,0.27156731486320496,0.0,0.0,4.084870348009815e-35
65,0.9810921847820282,0.9847784042358398,0.9874706864356995,0.8244375586509705,0.8572635650634766,0.8808743953704834,0.1373162679374218,0.20930563658475876,0.27440376579761505,0.0006686957203783095,0.0012547456426545978,0.0025507588870823383,0.0005110848869662732,0.0007785475754644722,0.0011165669420734048,0.021212273743003607,0.05674906633794308,0.1457843817770481,0.0,0.0,2.1710441139514065e-35
66,0.980799674987793,0.9845423102378845,0.9872761815786362,0.8220151364803314,0.8552029430866241,0.879133015871048,0.13341070339083672,0.20387302339076996,0.2695636972784996,0.0006124417268438265,0.0011606842745095491,0.0024370860191993415,0.0004389845271361992,0.0006658413913100958,0.0010060323984362185,0.026232638861984015,0.059390950947999954,0.09086949937045574,0.0,0.0,1.910386169642756e-35
67,0.9805073291063309,0.9843062162399292,0.9870816916227341,0.8196117728948593,0.8531474471092224,0.8773951679468155,0.12962769716978073,0.19824880361557007,0.2644558623433113,0.0005770725547336042,0.0011167325428687036,0.0023384346859529614,0.0004019766565761529,0.000602489453740418,0.00091714077279903,0.06138991937041283,0.11298400908708572,0.15307020768523216,0.0,0.0,1.886270240098149e-35
68,0.9802150577306747,0.9840703010559082,0.9868871569633484,0.8172174543142319,0.8510971963405609,0.8756608963012695,0.1251449454575777,0.19357036799192429,0.2594764605164528,0.0005193492979742587,0.0010874996078200638,0.0022776189143769443,0.00036801372334593907,0.0005475520447362214,0.0008258629241026938,0.045491538010537624,0.09501666948199272,0.20997819676995277,0.0,0.0,1.4407787952358223e-35
69,0.9799229204654694,0.9838344156742096,0.9866927862167358,0.8148323148488998,0.8490520119667053,0.8739302009344101,0.12072759680449963,0.18854159116744995,0.2543037533760071,0.00048496334784431383,0.0010238965041935444,0.002160474192351103,0.0003407707772566937,0.0005062461423221976,0.0007738896238151938,0.021021293476223946,0.058473801240324974,0.13500088453292847,0.0,0.0,1.2528726798708476e-35
70,0.9796307981014252,0.983598530292511,0.9864984452724457,0.8124559968709946,0.8470458090305328,0.872193306684494,0.11714760586619377,0.18414849787950516,0.24900728464126587,0.00046204381942516193,0.0009777742088772357,0.002079253550618887,0.0002963879451272078,0.0004498529160628095,0.0006989556713961065,0.013951558852568269,0.03475801832973957,0.07281286455690861,0.0,0.0,9.605640443536134e-36
71,0.9793387949466705,0.98336261510849,0.9863040894269943,0.8100888133049011,0.8450527191162109,0.8704546838998795,0.11383558064699173,0.17954981327056885,0.2440394014120102,0.0004226282035233453,0.0009007285989355296,0.002008496318012476,0.00028252933407202363,0.0004179218376521021,0.0006152748392196372,0.026804083958268166,0.049597242847085,0.07051225751638412,0.0,0.0,9.236735641173652e-36
