iteration,L2O_q25,L2O_q50,L2O_q75
1,1.0,1.0,1.0
2,0.9985644519329071,1.0001993775367737,1.001757264137268
3,0.3371664136648178,0.40941521525382996,0.4875476732850075
4,0.142981868237257,0.19532086700201035,0.26122287660837173
5,0.07440696842968464,0.10738429054617882,0.1530217006802559
6,0.03757198341190815,0.059789007529616356,0.09577326476573944
7,0.021970280446112156,0.03702174313366413,0.06422906741499901
8,0.014409900642931461,0.02553738933056593,0.04407764691859484
9,0.009812104050070047,0.01839469838887453,0.03218159358948469
10,0.006877712905406952,0.013527844566851854,0.023813546169549227
11,0.004878259496763349,0.010186881758272648,0.018090612720698118
12,0.003923815442249179,0.008073168341070414,0.014252467080950737
13,0.002926561748608947,0.006245948374271393,0.011423256481066346
14,0.0023472405737265944,0.004964285297319293,0.00920282513834536
15,0.002020410669501871,0.004205362405627966,0.007756838807836175
16,0.0015276201302185655,0.003396645304746926,0.006484823417849839
17,0.0012912128877360374,0.0029208665946498513,0.005432710750028491
18,0.0010896104504354298,0.002563684363849461,0.004802023875527084
19,0.0009274146286770701,0.00215048308018595,0.00431852275505662
20,0.0008863945404300466,0.0018485396867617965,0.0038391967536881566
21,0.0007879306067479774,0.001650553836952895,0.003590258304029703
22,0.0006712277536280453,0.0014747524401172996,0.0031623085378669202
23,0.0006279743538470939,0.0013932101428508759,0.002989897329825908
24,0.0005584833852481097,0.0012946692295372486,0.0027237925678491592
25,0.0005315862217685208,0.0011820095242001116,0.002536533633247018
26,0.0004887293835054152,0.0011039134697057307,0.0022821786114946008
27,0.00047988921141950414,0.0010348244104534388,0.002231080667115748
28,0.0004332479293225333,0.000973692920524627,0.0020886280108243227
29,0.0004475032983464189,0.0009422028670087457,0.0020565013983286917
30,0.00041168445022776723,0.0009656912588980049,0.00196712656179443
31,0.000417047122027725,0.0008577884000260383,0.0018669871788006276
32,0.00041320983291370794,0.000839374668430537,0.0017961507837753743
33,0.0003750538162421435,0.0008456054492853582,0.0017603313026484102
34,0.00039917258982313797,0.0008078792889136821,0.0017476670327596366
35,0.00036085816827835515,0.0008227847574744374,0.001719134859740734
36,0.00036699300835607573,0.0007433716091327369,0.0016293833032250404
37,0.00036314486351329833,0.0007744882314000279,0.001534617826109752
38,0.00033129869552794844,0.0007436048472300172,0.0015569798706565052
39,0.00036800868110731244,0.0007356005080509931,0.0015293404867406934
40,0.000348714369465597,0.0007610571628902107,0.0015253305318765342
41,0.0003532834380166605,0.0007548793510068208,0.0015185206138994545
42,0.0003363469659234397,0.0007548553112428635,0.0014618125569541007
43,0.0003358087706146762,0.0007346076017711312,0.0015080893062986434
44,0.00032457058114232495,0.0007166560681071132,0.00142397586023435
45,0.0003513486517476849,0.0007072862354107201,0.001479864033171907
46,0.0003568912798073143,0.0006848894990980625,0.0014143997977953404
47,0.00035164034488843754,0.0006901730666868389,0.0014400870131794363
48,0.00032325705979019403,0.0006902381719555706,0.001464178872993216
49,0.00032231219665845856,0.0006975273718126118,0.0014077357773203403
50,0.0003501635364955291,0.0006931342650204897,0.0014415595505852252
51,0.0003352819912834093,0.0006739567907061428,0.001379370893118903
52,0.00033128279756056145,0.0006946959183551371,0.0013562548556365073
53,0.0003503111292957328,0.0006529544480144978,0.0013523067173082381
54,0.0003321957337902859,0.0006759472307749093,0.001403612899594009
55,0.0003387315009604208,0.0006695798656437546,0.0013913049770053476
56,0.0003569276595953852,0.0006848568737041205,0.0014306177909020334
57,0.0003345221630297601,0.0007001076592132449,0.0014000528317410499
58,0.0003287696235929616,0.0006771931366529316,0.0014253364061005414
59,0.00034397900162730366,0.0007017406460363418,0.0014126418391242623
60,0.0003377468674443662,0.0006937881116755307,0.001400619075866416
61,0.0003614964080043137,0.0006800830306019634,0.0014116950333118439
62,0.000338940582878422,0.0006789586041122675,0.0013872531126253307
63,0.00032512989128008485,0.0006717774958815426,0.0013095192553009838
64,0.00035219114215578884,0.000691498105879873,0.0013642323028761894
65,0.0003422204026719555,0.0006881616427563131,0.0013959330972284079
66,0.0003306147627881728,0.0006873556994833052,0.0013967404665891081
67,0.00032045378611655906,0.0006933137192390859,0.0013322528102435172
68,0.0003221005681552924,0.0006909229268785566,0.0013667808379977942
69,0.00032384864607593045,0.0007023683574516326,0.0013714835222344846
70,0.0003348489190102555,0.0007023262442089617,0.0013269081246107817
71,0.0003358083849889226,0.0006846589385531843,0.00139677117113024
72,0.0003207372792530805,0.0006925467168912292,0.0013611074246000499
73,0.0003351560662849806,0.0006506110657937825,0.0012969194795005023
74,0.00034630110894795507,0.0007050033018458635,0.001373141014482826
75,0.00033973569225054234,0.0007241467828862369,0.0013674422807525843
76,0.0003181842257617973,0.0006572930724360049,0.0013664891012012959
77,0.00033304707176284865,0.0007124071125872433,0.00134058587718755
