iteration,L2O_q25,L2O_q50,L2O_q75
1,1.0,1.0,1.0
2,0.4154759868979454,0.4898332506418228,0.5643739849328995
3,0.16960828751325607,0.23257774859666824,0.3071404844522476
4,0.07671506516635418,0.1145552210509777,0.16767658293247223
5,0.03688737656921148,0.0587032251060009,0.09282085299491882
6,0.019303145352751017,0.0347842276096344,0.05886051245033741
7,0.011981941293925047,0.020996899344027042,0.036720105446875095
8,0.007420371868647635,0.013574151322245598,0.023846088908612728
9,0.004748468287289143,0.009320199023932219,0.01656509330496192
10,0.0031744781881570816,0.00666463584639132,0.011970306979492307
11,0.002514025429263711,0.005068652797490358,0.009469153825193644
12,0.0018865324673242867,0.0039236294105648994,0.007591414614580572
13,0.0015228234697133303,0.0031767227919772267,0.00639786128886044
14,0.0013190095778554678,0.0027115809498354793,0.005473681027069688
15,0.0011088510800618678,0.0022546587279066443,0.004610858857631683
16,0.0009510731761110947,0.0020264979684725404,0.0038733541732653975
17,0.0009099721792154014,0.0017896044300869107,0.0036741101648658514
18,0.0008306972886202857,0.001662738446611911,0.0033974628313444555
19,0.0007111128943506628,0.0015038226265460253,0.0030670948908664286
20,0.0006957822042750195,0.0014529463951475918,0.0028498807223513722
21,0.0006601939967367798,0.0013632664340548217,0.0027966193738393486
22,0.0006570680416189134,0.001321087358519435,0.002741031174082309
23,0.0005852103349752724,0.0012332210899330676,0.0025991801521740854
24,0.0005842146783834323,0.0011739053297787905,0.0024452368379570544
25,0.0005510606424650177,0.001144925830885768,0.0024107780773192644
26,0.0005750297859776765,0.001142342749517411,0.002315654419362545
27,0.000531309429788962,0.0010793321416713297,0.0022802837193012238
28,0.0005599016440100968,0.0010773380636237562,0.0022707083262503147
29,0.0005234587006270885,0.0010525474790483713,0.002230004232842475
30,0.0005300137272570282,0.0010638029780238867,0.0021176915033720434
31,0.0005134988750796765,0.0010383795015513897,0.002166062535252422
32,0.0005241802282398567,0.001040971023030579,0.0021429459447972476
33,0.0004918755730614066,0.0010038885520771146,0.002125860541127622
34,0.0005186389171285555,0.000990548636764288,0.0021084637264721096
35,0.0004992579342797399,0.0010059888591058552,0.002044995257165283
36,0.0004929326823912561,0.000993774097878486,0.002131524553988129
37,0.0004875256563536823,0.0009983242489397526,0.0020364008960314095
38,0.0004923957894789055,0.0010052410652861,0.002041531726717949
39,0.00046393168304348364,0.0009846743196249008,0.0020069480524398386
40,0.0004708645719802007,0.0009620604105293751,0.0020392066799104214
41,0.0004835881627514027,0.0009927968494594097,0.001962479727808386
42,0.00047988727601477876,0.0009823197033256292,0.0020632738014683127
43,0.00047528472350677475,0.000976920040557161,0.002013112243730575
44,0.00045976933324709535,0.0009536195429973304,0.0020189015194773674
45,0.00048577725829090923,0.0009731831378303468,0.001971044926904142
46,0.00048028273158706725,0.000978636380750686,0.0020325552322901785
47,0.0004735065740533173,0.0009891921072266996,0.002035127312410623
48,0.0004849888719036244,0.0009868565248325467,0.0020907551515847445
49,0.0004600799802574329,0.0010057321633212268,0.002026668284088373
50,0.0004671917195082642,0.0009922212921082973,0.0020683450275100768
