iteration,Adam(lr=0.0001)_q25,Adam(lr=0.0001)_q50,Adam(lr=0.0001)_q75,Adam(lr=0.001)_q25,Adam(lr=0.001)_q50,Adam(lr=0.001)_q75,Adam(lr=0.01)_q25,Adam(lr=0.01)_q50,Adam(lr=0.01)_q75,Adam(lr=0.1)_q25,Adam(lr=0.1)_q50,Adam(lr=0.1)_q75,Adam(lr=1.0)_q25,Adam(lr=1.0)_q50,Adam(lr=1.0)_q75,Adam(lr=10.0)_q25,Adam(lr=10.0)_q50,Adam(lr=10.0)_q75,BFGS_q25,BFGS_q50,BFGS_q75
11,0.9970240592956543,0.9976304471492767,0.998055174946785,0.9705391079187393,0.976515918970108,0.9806761592626572,0.7341365069150925,0.7834096550941467,0.8199526965618134,0.08231901004910469,0.11673775315284729,0.16019952297210693,0.11406033113598824,0.17533107846975327,0.2588427737355232,22.5012469291687,37.79396629333496,64.72538757324219,9.417399996891618e-05,0.0011563163716346025,0.0034752744249999523
12,0.9967268407344818,0.9973936676979065,0.9978607296943665,0.9676315039396286,0.97419273853302,0.9787632375955582,0.7117439955472946,0.7640016973018646,0.804123193025589,0.0752994604408741,0.10585692897439003,0.14435788616538048,0.09243714064359665,0.13975702226161957,0.19976217672228813,10.56272268295288,19.015320777893066,34.56246280670166,3.318483959446894e-05,0.000764964148402214,0.0022707065800204873
13,0.996429830789566,0.9971568584442139,0.9976664483547211,0.9647306501865387,0.971877783536911,0.9768557399511337,0.6892906874418259,0.7451282739639282,0.7877991944551468,0.0698606725782156,0.09797847643494606,0.12662604078650475,0.08298452571034431,0.12411482259631157,0.17158354818820953,0.5762432664632797,2.726938247680664,11.622310876846313,1.0051428034785204e-05,0.000502895622048527,0.0016248562897089869
14,0.9961326569318771,0.9969203472137451,0.9974721670150757,0.9618292301893234,0.9695684313774109,0.9749521762132645,0.6675350666046143,0.7269580662250519,0.7720781713724136,0.06487400829792023,0.09178626164793968,0.11603909730911255,0.0799784678965807,0.1193382665514946,0.17392176389694214,5.401858568191528,7.668119430541992,13.554884672164917,3.0133458039927064e-06,0.0003381640271982178,0.0011619951401371509
15,0.9958356469869614,0.9966836869716644,0.9972779601812363,0.9589341431856155,0.967284619808197,0.9730527400970459,0.64654740691185,0.7089504599571228,0.7564072161912918,0.060205708257853985,0.08363920450210571,0.10766479186713696,0.07479127869009972,0.11199415102601051,0.16927911713719368,12.32398009300232,19.7163028717041,32.23033618927002,9.137773133716109e-07,0.00023717716976534575,0.000831170502351597
16,0.9955389201641083,0.9964470267295837,0.9970837086439133,0.9560451656579971,0.9649905860424042,0.9711558669805527,0.6255987882614136,0.6912849247455597,0.7411908209323883,0.0554845817387104,0.07743827253580093,0.09904611296951771,0.06708733178675175,0.09692073613405228,0.145300954580307,13.448896646499634,22.555200576782227,39.771751403808594,2.0053582971968353e-07,0.00016028287063818425,0.0006238026107894257
17,0.9952419549226761,0.9962104856967926,0.9968894720077515,0.9531626999378204,0.962695837020874,0.9692700952291489,0.605651468038559,0.6744727492332458,0.726303905248642,0.052301282063126564,0.0714392215013504,0.0918224360793829,0.051300336606800556,0.08104350790381432,0.11630449630320072,9.530813455581665,16.764288902282715,30.600767612457275,2.468416315792865e-08,0.00010391396790510044,0.00046987621317384765
18,0.9949452131986618,0.9959741532802582,0.9966954439878464,0.9502861946821213,0.960410088300705,0.9673890471458435,0.5862822085618973,0.6578392386436462,0.7115411460399628,0.04935164283961058,0.06631892174482346,0.08421854302287102,0.04822392761707306,0.07300218194723129,0.10379385761916637,3.5988612174987793,7.624432802200317,15.185707330703735,9.858782540339561e-10,6.802072675782256e-05,0.0003399914494366385
19,0.9946485757827759,0.9957376420497894,0.9965012073516846,0.9474163949489594,0.9581270515918732,0.9655129760503769,0.5678264051675797,0.6417379379272461,0.6967665106058121,0.045294695533812046,0.06084376387298107,0.0774351954460144,0.04649252723902464,0.06856609135866165,0.10325440391898155,0.31647656857967377,0.8533824384212494,6.875217914581299,8.657341120030249e-12,4.542345595837105e-05,0.0002604002511361614
20,0.9943520128726959,0.9955013394355774,0.9963070154190063,0.9445531964302063,0.9558378159999847,0.9636418372392654,0.5504957586526871,0.6258214116096497,0.6826511770486832,0.041074976325035095,0.055575840175151825,0.07021974585950375,0.04435523133724928,0.06537210196256638,0.10191660560667515,4.607180833816528,6.296915292739868,9.906954288482666,3.710766977439543e-14,3.26306344504701e-05,0.00020807795954169706
