iteration,L2O_q25,L2O_q50,L2O_q75
1,1.0,1.0,1.0
2,0.6336027085781097,0.7052653431892395,0.7703116536140442
3,0.3226752206683159,0.40417803823947906,0.48797133564949036
4,0.15536849573254585,0.22550633549690247,0.30098941922187805
5,0.07963737472891808,0.12405525892972946,0.17892905324697495
6,0.045587760396301746,0.0726429745554924,0.11466197669506073
7,0.028889970388263464,0.047306740656495094,0.0764396172016859
8,0.021930445451289415,0.03555520065128803,0.05644543096423149
9,0.01644108258187771,0.027895405888557434,0.04803480952978134
10,0.01455336227081716,0.02348731830716133,0.042380970902740955
11,0.01250531175173819,0.021480255760252476,0.0393319521099329
12,0.012668312294408679,0.021415770053863525,0.0378603907302022
13,0.011767169926315546,0.020373845472931862,0.03750993404537439
14,0.011549902148544788,0.020159073173999786,0.03622560016810894
15,0.011171398684382439,0.019745992496609688,0.03657363634556532
16,0.010934167541563511,0.019880477339029312,0.03685894142836332
17,0.01060971012338996,0.019031262956559658,0.03491866495460272
18,0.010846880730241537,0.019459158182144165,0.03537141811102629
19,0.011043446138501167,0.018867988139390945,0.034247053787112236
20,0.010622161207720637,0.018971605226397514,0.03658286016434431
21,0.011297914665192366,0.019419620744884014,0.03356092516332865
22,0.010337325045838952,0.019391698762774467,0.034954383969306946
23,0.0110953189432621,0.01976000051945448,0.034678634256124496
24,0.0111405192874372,0.01984039507806301,0.03845644649118185
25,0.011242980603128672,0.019045588560402393,0.03469229210168123
26,0.010482927085831761,0.019038066267967224,0.03499600477516651
27,0.011781078530475497,0.019374284893274307,0.03304490726441145
28,0.010778515599668026,0.01922818273305893,0.0356814144179225
29,0.011443331837654114,0.02067406475543976,0.03595236409455538
30,0.011010365560650826,0.01899957563728094,0.036277033388614655
31,0.011233966564759612,0.018952899612486362,0.03416226990520954
32,0.010847710305824876,0.019195733591914177,0.03606644086539745
33,0.012110517360270023,0.020234396681189537,0.03517238516360521
34,0.011333078611642122,0.02037556655704975,0.036034151911735535
35,0.01167806051671505,0.020172568038105965,0.034240202978253365
36,0.01132765575312078,0.01918799616396427,0.03576780017465353
37,0.01160166971385479,0.02067431155592203,0.03614174481481314
38,0.011261137435212731,0.01998444553464651,0.03492096811532974
39,0.011415071319788694,0.02060427889227867,0.0358716594055295
40,0.011151226237416267,0.02052693162113428,0.03737659100443125
41,0.011201582849025726,0.020633396692574024,0.03749380726367235
42,0.011570019414648414,0.02023555524647236,0.03533623367547989
43,0.01138235698454082,0.020264647901058197,0.035364159382879734
44,0.011649487307295203,0.020396714098751545,0.036438027396798134
45,0.011558525497093797,0.019985610619187355,0.035736676305532455
46,0.011333409696817398,0.020115964114665985,0.036263120360672474
47,0.011321963276714087,0.01952914521098137,0.0339410500600934
48,0.011525395093485713,0.020657848566770554,0.03630208317190409
49,0.011528311762958765,0.020495987497270107,0.0361772645264864
50,0.01185064110904932,0.02052678819745779,0.035417298786342144
51,0.011683386284857988,0.02053101174533367,0.03599202446639538
52,0.012204346479848027,0.0204444183036685,0.03614431247115135
53,0.012047982076182961,0.0208066264167428,0.03674794360995293
54,0.012522232020273805,0.02125388663262129,0.03628701902925968
55,0.012294455198571086,0.020788555964827538,0.036907706409692764
56,0.01207169983536005,0.02132262196391821,0.03642427176237106
57,0.01192888105288148,0.020146239548921585,0.03589633293449879
58,0.012222656281664968,0.021144341677427292,0.03804096486419439
59,0.01207954972051084,0.021398809738457203,0.03589259460568428
60,0.012329294346272945,0.02096144575625658,0.0366378016769886
61,0.012165320804342628,0.021683811210095882,0.038545320741832256
62,0.012327716685831547,0.021627155132591724,0.0356162004172802
63,0.0123127237893641,0.02139095589518547,0.03834736533463001
64,0.012909632176160812,0.02207949012517929,0.03941630478948355
65,0.012427947018295527,0.022334471344947815,0.03697140421718359
66,0.012078087544068694,0.021824787370860577,0.03773916605859995
67,0.012441330822184682,0.021810133941471577,0.038253480568528175
68,0.012353498954325914,0.021828360855579376,0.03803098015487194
69,0.012518838979303837,0.022176369093358517,0.03686745837330818
70,0.012783383950591087,0.021323603577911854,0.037901039235293865
71,0.012549553997814655,0.02153847925364971,0.03926820307970047
72,0.012364023365080357,0.022274849005043507,0.03937979228794575
73,0.012622897746041417,0.021250667050480843,0.03878895379602909
74,0.013225615723058581,0.022848671302199364,0.039189224131405354
75,0.012395763071253896,0.02205047383904457,0.03915356285870075
76,0.012893861625343561,0.022514467127621174,0.03935712110251188
77,0.01223478140309453,0.022099999710917473,0.039437590166926384
78,0.012675997102633119,0.022568702697753906,0.04066137503832579
79,0.012961387867107987,0.022094045765697956,0.03865068219602108
80,0.012683853739872575,0.023176666349172592,0.03908280376344919
81,0.012756585841998458,0.022464499808847904,0.03865188080817461
82,0.012126920046284795,0.022001605480909348,0.03901300486177206
83,0.013112960616126657,0.022695294581353664,0.03939450439065695
84,0.013000509003177285,0.02302142884582281,0.03919581323862076
85,0.012914906023070216,0.02247278392314911,0.03865521028637886
86,0.013777038315311074,0.02329087443649769,0.03876863047480583
87,0.012487034313380718,0.0221836743876338,0.03833246510475874
88,0.013423864496871829,0.023328792303800583,0.03938526473939419
89,0.012751419795677066,0.02281008381396532,0.03901390638202429
90,0.01331859058700502,0.023475422523915768,0.041365353390574455
91,0.013193130260333419,0.02332164626568556,0.03911762032657862
92,0.013218569802120328,0.022874685935676098,0.0399060333147645
93,0.013055251678451896,0.023165627382695675,0.04050679784268141
94,0.012871790444478393,0.02283238247036934,0.04018608946353197
95,0.013384312391281128,0.023063032887876034,0.038345285691320896
96,0.012553861597552896,0.02303797099739313,0.03854947350919247
97,0.013038264820352197,0.023052876815199852,0.03958927188068628
98,0.012542237062007189,0.022989055141806602,0.03890604339540005
99,0.013057511765509844,0.023026964627206326,0.04059856850653887
100,0.012970345094799995,0.023158788681030273,0.04033954069018364
