Epoch, train Loss, test loss
1, 0.7902, 0.5756
20, 0.2034, 0.0351
40, 0.0382, 0.0208
60, 0.0186, 0.0159
80, 0.0157, 0.0125
100, 0.0130, 0.0117
120, 0.0137, 0.0112
140, 0.0117, 0.0108
160, 0.0151, 0.0103
180, 0.0120, 0.0113
200, 0.0108, 0.0096
220, 0.0114, 0.0094
240, 0.0146, 0.0161
260, 0.0136, 0.0097
280, 0.0112, 0.0094
300, 0.0115, 0.0115
320, 0.0104, 0.0086
340, 0.0111, 0.0092
360, 0.0102, 0.0088
380, 0.0106, 0.0088
400, 0.0097, 0.0093
420, 0.0103, 0.0085
440, 0.0124, 0.0086
460, 0.0098, 0.0096
480, 0.0104, 0.0083
500, 0.0120, 0.0099
520, 0.0102, 0.0085
540, 0.0117, 0.0093
560, 0.0103, 0.0099
580, 0.0104, 0.0097
600, 0.0110, 0.0091
620, 0.0124, 0.0122
640, 0.0116, 0.0095
660, 0.0093, 0.0079
680, 0.0104, 0.0081
700, 0.0102, 0.0103
720, 0.0120, 0.0167
740, 0.0110, 0.0094
760, 0.0103, 0.0088
780, 0.0097, 0.0079
800, 0.0100, 0.0092
820, 0.0127, 0.0150
840, 0.0115, 0.0097
860, 0.0105, 0.0082
880, 0.0095, 0.0082
900, 0.0104, 0.0082
920, 0.0093, 0.0084
940, 0.0094, 0.0082
960, 0.0095, 0.0080
980, 0.0101, 0.0079
1000, 0.0107, 0.0083
1020, 0.0107, 0.0079
1040, 0.0090, 0.0091
1060, 0.0104, 0.0083
1080, 0.0103, 0.0085
1100, 0.0098, 0.0080
1120, 0.0099, 0.0093
1140, 0.0104, 0.0082
1160, 0.0108, 0.0131
1180, 0.0112, 0.0081
1200, 0.0114, 0.0090
1220, 0.0101, 0.0094
1240, 0.0093, 0.0080
1260, 0.0110, 0.0079
1280, 0.0105, 0.0096
1300, 0.0109, 0.0083
1320, 0.0105, 0.0086
1340, 0.0093, 0.0080
1360, 0.0096, 0.0080
1380, 0.0100, 0.0081
1400, 0.0104, 0.0090
1420, 0.0105, 0.0081
1440, 0.0092, 0.0082
1460, 0.0112, 0.0080
1480, 0.0096, 0.0081
1500, 0.0108, 0.0076
1520, 0.0096, 0.0080
1540, 0.0094, 0.0088
1560, 0.0103, 0.0094
1580, 0.0095, 0.0078
1600, 0.0118, 0.0084
1620, 0.0096, 0.0085
1640, 0.0091, 0.0078
1660, 0.0106, 0.0077
1680, 0.0095, 0.0079
1700, 0.0094, 0.0084
1720, 0.0087, 0.0078
1740, 0.0099, 0.0095
1760, 0.0109, 0.0150
1780, 0.0110, 0.0079
1800, 0.0096, 0.0080
1820, 0.0113, 0.0084
1840, 0.0101, 0.0080
1860, 0.0104, 0.0088
1880, 0.0094, 0.0084
1900, 0.0108, 0.0082
1920, 0.0100, 0.0082
1940, 0.0094, 0.0085
1960, 0.0111, 0.0087
1980, 0.0112, 0.0082
2000, 0.0103, 0.0092
