Epoch, train Loss, test loss
1, 1.0715, 0.8486
20, 0.2391, 0.0815
40, 0.0418, 0.0456
60, 0.0205, 0.0380
80, 0.0145, 0.0340
100, 0.0122, 0.0294
120, 0.0103, 0.0279
140, 0.0091, 0.0277
160, 0.0092, 0.0268
180, 0.0096, 0.0263
200, 0.0081, 0.0246
220, 0.0092, 0.0305
240, 0.0085, 0.0236
260, 0.0083, 0.0224
280, 0.0078, 0.0221
300, 0.0080, 0.0190
320, 0.0075, 0.0201
340, 0.0082, 0.0170
360, 0.0084, 0.0223
380, 0.0093, 0.0168
400, 0.0074, 0.0152
420, 0.0068, 0.0141
440, 0.0073, 0.0144
460, 0.0083, 0.0131
480, 0.0075, 0.0116
500, 0.0086, 0.0118
520, 0.0078, 0.0124
540, 0.0072, 0.0116
560, 0.0073, 0.0111
580, 0.0081, 0.0102
600, 0.0073, 0.0116
620, 0.0076, 0.0113
640, 0.0072, 0.0105
660, 0.0070, 0.0100
680, 0.0072, 0.0098
700, 0.0069, 0.0100
720, 0.0076, 0.0102
740, 0.0069, 0.0104
760, 0.0070, 0.0102
780, 0.0083, 0.0099
800, 0.0079, 0.0103
820, 0.0073, 0.0096
840, 0.0074, 0.0103
860, 0.0070, 0.0099
880, 0.0073, 0.0101
900, 0.0073, 0.0092
920, 0.0063, 0.0106
940, 0.0075, 0.0104
960, 0.0072, 0.0094
980, 0.0075, 0.0097
1000, 0.0074, 0.0103
1020, 0.0064, 0.0099
1040, 0.0068, 0.0095
1060, 0.0083, 0.0102
1080, 0.0067, 0.0102
1100, 0.0071, 0.0093
1120, 0.0072, 0.0107
1140, 0.0076, 0.0095
1160, 0.0068, 0.0098
1180, 0.0073, 0.0099
1200, 0.0066, 0.0096
1220, 0.0069, 0.0100
1240, 0.0069, 0.0096
1260, 0.0068, 0.0093
1280, 0.0074, 0.0095
1300, 0.0066, 0.0096
1320, 0.0070, 0.0091
1340, 0.0074, 0.0097
1360, 0.0067, 0.0090
1380, 0.0070, 0.0101
1400, 0.0080, 0.0094
1420, 0.0068, 0.0099
1440, 0.0068, 0.0101
1460, 0.0069, 0.0094
1480, 0.0073, 0.0102
1500, 0.0072, 0.0110
1520, 0.0071, 0.0095
1540, 0.0081, 0.0106
1560, 0.0074, 0.0109
1580, 0.0075, 0.0104
1600, 0.0077, 0.0109
1620, 0.0067, 0.0099
1640, 0.0067, 0.0097
1660, 0.0069, 0.0095
1680, 0.0069, 0.0098
1700, 0.0066, 0.0091
1720, 0.0071, 0.0100
1740, 0.0066, 0.0103
1760, 0.0073, 0.0093
1780, 0.0068, 0.0095
1800, 0.0063, 0.0089
1820, 0.0077, 0.0102
1840, 0.0074, 0.0103
1860, 0.0072, 0.0124
1880, 0.0074, 0.0100
1900, 0.0072, 0.0105
1920, 0.0066, 0.0101
1940, 0.0066, 0.0101
1960, 0.0080, 0.0102
1980, 0.0072, 0.0103
2000, 0.0069, 0.0098
