Epoch, train Loss, test loss
1, 0.7611, 0.7929
20, 0.2304, 0.0500
40, 0.0495, 0.0298
60, 0.0334, 0.0203
80, 0.0210, 0.0152
100, 0.0165, 0.0143
120, 0.0137, 0.0134
140, 0.0121, 0.0139
160, 0.0123, 0.0127
180, 0.0107, 0.0116
200, 0.0115, 0.0110
220, 0.0122, 0.0103
240, 0.0110, 0.0096
260, 0.0105, 0.0093
280, 0.0115, 0.0090
300, 0.0111, 0.0087
320, 0.0116, 0.0081
340, 0.0091, 0.0082
360, 0.0104, 0.0082
380, 0.0102, 0.0090
400, 0.0122, 0.0083
420, 0.0098, 0.0089
440, 0.0101, 0.0088
460, 0.0100, 0.0086
480, 0.0091, 0.0085
500, 0.0098, 0.0091
520, 0.0097, 0.0090
540, 0.0095, 0.0080
560, 0.0103, 0.0080
580, 0.0098, 0.0085
600, 0.0084, 0.0078
620, 0.0105, 0.0079
640, 0.0116, 0.0084
660, 0.0077, 0.0077
680, 0.0098, 0.0083
700, 0.0092, 0.0076
720, 0.0088, 0.0074
740, 0.0085, 0.0076
760, 0.0085, 0.0074
780, 0.0106, 0.0083
800, 0.0087, 0.0078
820, 0.0106, 0.0078
840, 0.0119, 0.0077
860, 0.0093, 0.0087
880, 0.0092, 0.0078
900, 0.0093, 0.0078
920, 0.0111, 0.0091
940, 0.0098, 0.0077
960, 0.0086, 0.0074
980, 0.0117, 0.0083
1000, 0.0094, 0.0084
1020, 0.0095, 0.0085
1040, 0.0106, 0.0079
1060, 0.0108, 0.0082
1080, 0.0094, 0.0077
1100, 0.0089, 0.0074
1120, 0.0103, 0.0079
1140, 0.0105, 0.0086
1160, 0.0107, 0.0074
1180, 0.0089, 0.0079
1200, 0.0115, 0.0077
1220, 0.0095, 0.0074
1240, 0.0077, 0.0072
1260, 0.0095, 0.0075
1280, 0.0098, 0.0081
1300, 0.0096, 0.0072
1320, 0.0099, 0.0076
1340, 0.0108, 0.0091
1360, 0.0083, 0.0075
1380, 0.0077, 0.0074
1400, 0.0096, 0.0075
1420, 0.0097, 0.0073
1440, 0.0094, 0.0073
1460, 0.0103, 0.0076
1480, 0.0094, 0.0073
1500, 0.0087, 0.0073
1520, 0.0098, 0.0074
1540, 0.0086, 0.0075
1560, 0.0073, 0.0072
1580, 0.0099, 0.0076
1600, 0.0099, 0.0080
1620, 0.0088, 0.0090
1640, 0.0081, 0.0086
1660, 0.0076, 0.0075
1680, 0.0126, 0.0074
1700, 0.0102, 0.0076
1720, 0.0111, 0.0076
1740, 0.0113, 0.0079
1760, 0.0109, 0.0076
1780, 0.0101, 0.0077
1800, 0.0074, 0.0075
1820, 0.0100, 0.0078
1840, 0.0092, 0.0079
1860, 0.0089, 0.0082
1880, 0.0108, 0.0081
1900, 0.0096, 0.0073
1920, 0.0092, 0.0074
1940, 0.0097, 0.0073
1960, 0.0106, 0.0078
1980, 0.0111, 0.0079
2000, 0.0107, 0.0073
