Epoch, train Loss, test loss
1, 0.9648, 0.0925
20, 0.4330, 0.0673
40, 0.0750, 0.0357
60, 0.0564, 0.0369
80, 0.0515, 0.0332
100, 0.0547, 0.0327
120, 0.0517, 0.0316
140, 0.0522, 0.0339
160, 0.0523, 0.0341
180, 0.0513, 0.0332
200, 0.0505, 0.0336
220, 0.0512, 0.0301
240, 0.0509, 0.0344
260, 0.0519, 0.0333
280, 0.0512, 0.0312
300, 0.0539, 0.0319
320, 0.0528, 0.0331
340, 0.0521, 0.0347
360, 0.0510, 0.0318
380, 0.0528, 0.0309
400, 0.0524, 0.0330
420, 0.0486, 0.0322
440, 0.0534, 0.0323
460, 0.0529, 0.0326
480, 0.0525, 0.0320
500, 0.0546, 0.0355
520, 0.0546, 0.0328
540, 0.0528, 0.0319
560, 0.0562, 0.0322
580, 0.0515, 0.0336
