Epoch, train Loss, test loss
1, 0.4728, 0.3876
20, 0.1608, 0.0621
40, 0.0497, 0.0276
60, 0.0210, 0.0175
80, 0.0171, 0.0144
100, 0.0139, 0.0119
120, 0.0112, 0.0127
140, 0.0112, 0.0099
160, 0.0104, 0.0079
180, 0.0086, 0.0081
200, 0.0092, 0.0087
220, 0.0103, 0.0079
240, 0.0095, 0.0074
260, 0.0100, 0.0072
280, 0.0097, 0.0076
300, 0.0102, 0.0075
320, 0.0091, 0.0072
340, 0.0093, 0.0074
360, 0.0090, 0.0075
380, 0.0096, 0.0079
400, 0.0088, 0.0078
420, 0.0090, 0.0073
440, 0.0109, 0.0073
460, 0.0091, 0.0077
480, 0.0095, 0.0072
500, 0.0105, 0.0081
520, 0.0097, 0.0074
540, 0.0095, 0.0078
560, 0.0093, 0.0077
580, 0.0091, 0.0075
600, 0.0101, 0.0079
620, 0.0107, 0.0074
640, 0.0102, 0.0076
660, 0.0085, 0.0070
680, 0.0092, 0.0074
700, 0.0091, 0.0070
720, 0.0100, 0.0072
740, 0.0088, 0.0074
760, 0.0097, 0.0072
780, 0.0088, 0.0072
800, 0.0096, 0.0079
820, 0.0108, 0.0081
840, 0.0098, 0.0084
860, 0.0099, 0.0071
880, 0.0091, 0.0073
900, 0.0096, 0.0076
920, 0.0090, 0.0074
940, 0.0090, 0.0072
960, 0.0087, 0.0070
980, 0.0095, 0.0075
1000, 0.0101, 0.0078
1020, 0.0101, 0.0076
1040, 0.0085, 0.0079
1060, 0.0103, 0.0075
1080, 0.0093, 0.0071
1100, 0.0093, 0.0080
1120, 0.0092, 0.0073
1140, 0.0093, 0.0072
1160, 0.0101, 0.0075
