Epoch, train Loss, test loss
1, 0.9648, 0.0998
20, 0.1135, 0.0379
40, 0.0526, 0.0318
60, 0.0521, 0.0332
80, 0.0511, 0.0352
100, 0.0542, 0.0343
120, 0.0518, 0.0312
140, 0.0518, 0.0354
160, 0.0515, 0.0330
180, 0.0492, 0.0336
200, 0.0454, 0.0334
220, 0.0394, 0.0313
240, 0.0311, 0.0338
260, 0.0276, 0.0411
280, 0.0205, 0.0362
300, 0.0170, 0.0344
320, 0.0156, 0.0294
340, 0.0129, 0.0268
360, 0.0104, 0.0289
380, 0.0096, 0.0276
400, 0.0103, 0.0244
420, 0.0089, 0.0251
440, 0.0105, 0.0269
460, 0.0101, 0.0253
480, 0.0102, 0.0244
500, 0.0102, 0.0246
520, 0.0104, 0.0229
540, 0.0087, 0.0229
560, 0.0086, 0.0215
580, 0.0094, 0.0237
600, 0.0087, 0.0217
620, 0.0091, 0.0209
640, 0.0087, 0.0221
660, 0.0085, 0.0246
680, 0.0090, 0.0231
700, 0.0093, 0.0227
720, 0.0088, 0.0210
740, 0.0088, 0.0199
760, 0.0083, 0.0216
780, 0.0075, 0.0200
800, 0.0083, 0.0226
820, 0.0092, 0.0216
840, 0.0093, 0.0204
860, 0.0091, 0.0214
880, 0.0082, 0.0205
900, 0.0082, 0.0195
920, 0.0078, 0.0197
940, 0.0078, 0.0203
960, 0.0079, 0.0194
980, 0.0084, 0.0210
1000, 0.0090, 0.0212
1020, 0.0083, 0.0200
1040, 0.0073, 0.0195
1060, 0.0086, 0.0215
1080, 0.0086, 0.0211
1100, 0.0078, 0.0183
1120, 0.0082, 0.0190
1140, 0.0079, 0.0202
1160, 0.0080, 0.0194
1180, 0.0082, 0.0180
1200, 0.0076, 0.0180
1220, 0.0078, 0.0193
1240, 0.0074, 0.0177
1260, 0.0078, 0.0193
1280, 0.0081, 0.0203
1300, 0.0087, 0.0224
1320, 0.0087, 0.0210
1340, 0.0079, 0.0188
1360, 0.0080, 0.0172
1380, 0.0072, 0.0182
1400, 0.0077, 0.0202
1420, 0.0080, 0.0183
1440, 0.0084, 0.0209
1460, 0.0081, 0.0207
1480, 0.0078, 0.0183
1500, 0.0081, 0.0188
1520, 0.0073, 0.0191
1540, 0.0077, 0.0196
1560, 0.0077, 0.0176
1580, 0.0079, 0.0194
1600, 0.0078, 0.0177
1620, 0.0076, 0.0180
1640, 0.0070, 0.0179
1660, 0.0082, 0.0200
1680, 0.0073, 0.0191
1700, 0.0072, 0.0180
1720, 0.0071, 0.0174
1740, 0.0076, 0.0206
1760, 0.0089, 0.0201
1780, 0.0084, 0.0192
1800, 0.0080, 0.0178
1820, 0.0079, 0.0192
1840, 0.0087, 0.0188
1860, 0.0075, 0.0172
1880, 0.0074, 0.0185
1900, 0.0075, 0.0176
1920, 0.0077, 0.0184
1940, 0.0078, 0.0190
1960, 0.0074, 0.0198
1980, 0.0078, 0.0176
2000, 0.0089, 0.0192
