Epoch, train Loss, test loss
1, 1.1700, 0.9361
20, 0.5782, 0.2167
40, 0.1028, 0.0465
60, 0.0557, 0.0368
80, 0.0401, 0.0257
100, 0.0271, 0.0183
120, 0.0171, 0.0161
140, 0.0144, 0.0171
160, 0.0141, 0.0155
180, 0.0122, 0.0139
200, 0.0129, 0.0126
220, 0.0135, 0.0113
240, 0.0116, 0.0099
260, 0.0105, 0.0105
280, 0.0114, 0.0084
300, 0.0106, 0.0081
320, 0.0111, 0.0074
340, 0.0090, 0.0078
360, 0.0106, 0.0081
380, 0.0100, 0.0078
400, 0.0114, 0.0076
420, 0.0097, 0.0088
440, 0.0104, 0.0102
460, 0.0108, 0.0090
480, 0.0092, 0.0084
500, 0.0097, 0.0082
520, 0.0096, 0.0079
540, 0.0098, 0.0075
560, 0.0099, 0.0077
580, 0.0100, 0.0080
600, 0.0086, 0.0079
620, 0.0101, 0.0078
640, 0.0113, 0.0078
660, 0.0076, 0.0080
680, 0.0103, 0.0090
700, 0.0092, 0.0080
720, 0.0086, 0.0072
740, 0.0083, 0.0075
760, 0.0086, 0.0072
780, 0.0108, 0.0090
800, 0.0090, 0.0075
820, 0.0105, 0.0077
840, 0.0117, 0.0076
860, 0.0092, 0.0072
880, 0.0092, 0.0084
900, 0.0094, 0.0072
920, 0.0111, 0.0079
940, 0.0096, 0.0083
960, 0.0087, 0.0080
980, 0.0115, 0.0073
1000, 0.0095, 0.0074
1020, 0.0094, 0.0084
1040, 0.0105, 0.0072
1060, 0.0109, 0.0077
1080, 0.0095, 0.0081
1100, 0.0087, 0.0078
1120, 0.0101, 0.0080
1140, 0.0104, 0.0094
1160, 0.0113, 0.0072
1180, 0.0090, 0.0076
1200, 0.0119, 0.0075
1220, 0.0099, 0.0072
1240, 0.0082, 0.0071
1260, 0.0097, 0.0071
1280, 0.0100, 0.0093
1300, 0.0101, 0.0081
1320, 0.0104, 0.0075
1340, 0.0107, 0.0084
1360, 0.0082, 0.0074
1380, 0.0082, 0.0075
1400, 0.0105, 0.0091
1420, 0.0101, 0.0082
1440, 0.0096, 0.0073
1460, 0.0105, 0.0075
1480, 0.0097, 0.0075
1500, 0.0088, 0.0074
1520, 0.0099, 0.0076
1540, 0.0085, 0.0075
1560, 0.0074, 0.0073
1580, 0.0099, 0.0074
1600, 0.0100, 0.0100
1620, 0.0090, 0.0073
1640, 0.0078, 0.0072
1660, 0.0075, 0.0074
1680, 0.0132, 0.0083
1700, 0.0106, 0.0072
1720, 0.0109, 0.0081
1740, 0.0115, 0.0078
1760, 0.0113, 0.0079
1780, 0.0109, 0.0078
1800, 0.0078, 0.0073
1820, 0.0098, 0.0076
1840, 0.0092, 0.0075
1860, 0.0090, 0.0083
1880, 0.0109, 0.0077
1900, 0.0099, 0.0091
1920, 0.0097, 0.0077
1940, 0.0099, 0.0072
1960, 0.0108, 0.0072
1980, 0.0110, 0.0072
2000, 0.0110, 0.0075
