Epoch, train Loss, test loss
1, 0.8918, 0.0976
20, 0.4473, 0.0710
40, 0.0772, 0.0399
60, 0.0577, 0.0346
80, 0.0514, 0.0329
100, 0.0521, 0.0328
120, 0.0532, 0.0322
140, 0.0458, 0.0325
160, 0.0565, 0.0310
180, 0.0535, 0.0297
200, 0.0571, 0.0312
220, 0.0526, 0.0364
240, 0.0518, 0.0354
260, 0.0489, 0.0303
280, 0.0557, 0.0354
300, 0.0537, 0.0356
320, 0.0526, 0.0326
340, 0.0535, 0.0317
360, 0.0486, 0.0314
380, 0.0501, 0.0338
400, 0.0518, 0.0323
420, 0.0543, 0.0348
440, 0.0491, 0.0335
460, 0.0490, 0.0297
480, 0.0534, 0.0320
500, 0.0525, 0.0305
520, 0.0527, 0.0351
