Epoch, train Loss, test loss
1, 1.2013, 1.5057
20, 0.5234, 0.2057
40, 0.1185, 0.0816
60, 0.0909, 0.0740
80, 0.0774, 0.0600
100, 0.0700, 0.0445
120, 0.0594, 0.0334
140, 0.0495, 0.0306
160, 0.0565, 0.0326
180, 0.0523, 0.0306
200, 0.0564, 0.0327
220, 0.0524, 0.0338
240, 0.0510, 0.0317
260, 0.0484, 0.0322
280, 0.0549, 0.0333
300, 0.0526, 0.0317
320, 0.0514, 0.0321
340, 0.0532, 0.0311
360, 0.0483, 0.0307
380, 0.0492, 0.0320
400, 0.0511, 0.0333
420, 0.0534, 0.0323
440, 0.0483, 0.0305
460, 0.0484, 0.0297
480, 0.0527, 0.0332
500, 0.0512, 0.0312
520, 0.0523, 0.0315
540, 0.0529, 0.0341
