Epoch, train Loss, test loss
1, 0.6446, 0.7113
20, 0.2490, 0.1291
40, 0.0878, 0.0489
60, 0.0497, 0.0338
80, 0.0332, 0.0249
100, 0.0199, 0.0189
120, 0.0191, 0.0173
140, 0.0177, 0.0165
160, 0.0178, 0.0154
180, 0.0153, 0.0146
200, 0.0152, 0.0144
220, 0.0134, 0.0135
240, 0.0124, 0.0134
260, 0.0125, 0.0124
280, 0.0129, 0.0120
300, 0.0118, 0.0112
320, 0.0130, 0.0106
340, 0.0103, 0.0100
360, 0.0105, 0.0098
380, 0.0097, 0.0095
400, 0.0102, 0.0094
420, 0.0119, 0.0088
440, 0.0100, 0.0093
460, 0.0107, 0.0086
480, 0.0093, 0.0084
500, 0.0110, 0.0083
520, 0.0102, 0.0082
540, 0.0104, 0.0082
560, 0.0097, 0.0081
580, 0.0105, 0.0081
600, 0.0102, 0.0079
620, 0.0089, 0.0077
640, 0.0098, 0.0084
660, 0.0099, 0.0078
680, 0.0093, 0.0080
700, 0.0088, 0.0079
720, 0.0098, 0.0077
740, 0.0099, 0.0077
760, 0.0093, 0.0076
780, 0.0080, 0.0076
800, 0.0097, 0.0079
820, 0.0080, 0.0076
840, 0.0100, 0.0078
860, 0.0105, 0.0077
880, 0.0110, 0.0078
900, 0.0087, 0.0075
920, 0.0095, 0.0079
940, 0.0097, 0.0075
960, 0.0094, 0.0081
980, 0.0101, 0.0077
1000, 0.0109, 0.0077
1020, 0.0097, 0.0076
1040, 0.0094, 0.0075
1060, 0.0109, 0.0076
1080, 0.0083, 0.0074
1100, 0.0097, 0.0076
1120, 0.0088, 0.0077
1140, 0.0084, 0.0075
1160, 0.0094, 0.0075
1180, 0.0103, 0.0076
1200, 0.0095, 0.0075
1220, 0.0102, 0.0073
1240, 0.0111, 0.0074
1260, 0.0113, 0.0073
1280, 0.0091, 0.0074
1300, 0.0082, 0.0074
1320, 0.0090, 0.0072
1340, 0.0088, 0.0073
1360, 0.0095, 0.0074
1380, 0.0088, 0.0073
1400, 0.0094, 0.0073
1420, 0.0095, 0.0073
1440, 0.0101, 0.0075
1460, 0.0099, 0.0073
1480, 0.0078, 0.0074
1500, 0.0094, 0.0073
1520, 0.0095, 0.0073
1540, 0.0083, 0.0074
1560, 0.0092, 0.0074
1580, 0.0107, 0.0076
1600, 0.0086, 0.0078
1620, 0.0107, 0.0074
1640, 0.0101, 0.0073
1660, 0.0090, 0.0073
1680, 0.0102, 0.0076
1700, 0.0108, 0.0073
1720, 0.0093, 0.0073
1740, 0.0091, 0.0072
1760, 0.0092, 0.0073
1780, 0.0101, 0.0075
1800, 0.0089, 0.0073
1820, 0.0092, 0.0073
1840, 0.0088, 0.0074
1860, 0.0086, 0.0075
1880, 0.0094, 0.0073
1900, 0.0078, 0.0073
1920, 0.0098, 0.0072
1940, 0.0087, 0.0075
1960, 0.0103, 0.0072
1980, 0.0104, 0.0073
2000, 0.0092, 0.0073
