Epoch, train Loss, test loss
1, 1.0992, 0.5283
20, 0.3642, 0.0804
40, 0.0676, 0.0344
60, 0.0340, 0.0211
80, 0.0188, 0.0155
100, 0.0152, 0.0140
120, 0.0126, 0.0131
140, 0.0121, 0.0110
160, 0.0113, 0.0090
180, 0.0090, 0.0085
200, 0.0092, 0.0083
220, 0.0099, 0.0076
240, 0.0095, 0.0084
260, 0.0104, 0.0083
280, 0.0100, 0.0078
300, 0.0102, 0.0077
320, 0.0091, 0.0073
340, 0.0092, 0.0075
360, 0.0090, 0.0076
380, 0.0095, 0.0077
400, 0.0088, 0.0075
420, 0.0092, 0.0075
440, 0.0109, 0.0075
460, 0.0090, 0.0078
480, 0.0095, 0.0073
500, 0.0104, 0.0081
520, 0.0095, 0.0079
540, 0.0096, 0.0076
560, 0.0095, 0.0086
580, 0.0093, 0.0077
600, 0.0101, 0.0078
620, 0.0107, 0.0075
640, 0.0102, 0.0086
660, 0.0086, 0.0072
680, 0.0093, 0.0076
700, 0.0091, 0.0074
720, 0.0101, 0.0074
740, 0.0088, 0.0073
760, 0.0095, 0.0080
780, 0.0089, 0.0073
800, 0.0096, 0.0082
820, 0.0108, 0.0077
840, 0.0096, 0.0075
860, 0.0098, 0.0072
880, 0.0091, 0.0073
900, 0.0095, 0.0073
920, 0.0090, 0.0074
940, 0.0090, 0.0073
960, 0.0088, 0.0071
980, 0.0095, 0.0072
1000, 0.0101, 0.0074
1020, 0.0100, 0.0078
1040, 0.0084, 0.0073
1060, 0.0101, 0.0072
1080, 0.0098, 0.0079
1100, 0.0094, 0.0072
1120, 0.0090, 0.0080
1140, 0.0092, 0.0074
1160, 0.0102, 0.0100
1180, 0.0105, 0.0087
1200, 0.0106, 0.0074
1220, 0.0092, 0.0074
1240, 0.0087, 0.0081
1260, 0.0101, 0.0079
1280, 0.0096, 0.0074
1300, 0.0103, 0.0100
1320, 0.0091, 0.0080
1340, 0.0087, 0.0079
1360, 0.0090, 0.0080
1380, 0.0094, 0.0081
1400, 0.0094, 0.0082
1420, 0.0095, 0.0079
1440, 0.0087, 0.0080
1460, 0.0102, 0.0076
1480, 0.0086, 0.0074
1500, 0.0097, 0.0074
1520, 0.0092, 0.0077
1540, 0.0090, 0.0078
1560, 0.0088, 0.0079
1580, 0.0085, 0.0077
1600, 0.0100, 0.0080
1620, 0.0088, 0.0082
1640, 0.0084, 0.0084
1660, 0.0093, 0.0076
1680, 0.0085, 0.0074
1700, 0.0085, 0.0080
1720, 0.0079, 0.0076
1740, 0.0089, 0.0085
1760, 0.0092, 0.0080
1780, 0.0087, 0.0075
1800, 0.0082, 0.0078
1820, 0.0097, 0.0080
1840, 0.0088, 0.0078
1860, 0.0090, 0.0082
1880, 0.0087, 0.0078
1900, 0.0093, 0.0077
1920, 0.0087, 0.0080
1940, 0.0081, 0.0079
1960, 0.0092, 0.0081
1980, 0.0095, 0.0083
2000, 0.0088, 0.0098
