Epoch, train Loss, test loss
1, 0.6896, 0.6256
20, 0.1623, 0.0715
40, 0.0768, 0.0592
60, 0.0678, 0.0480
80, 0.0591, 0.0395
100, 0.0598, 0.0366
120, 0.0537, 0.0348
140, 0.0533, 0.0350
160, 0.0542, 0.0336
180, 0.0519, 0.0322
200, 0.0505, 0.0340
220, 0.0510, 0.0322
240, 0.0507, 0.0325
260, 0.0522, 0.0314
280, 0.0509, 0.0331
300, 0.0534, 0.0328
320, 0.0527, 0.0321
340, 0.0514, 0.0331
360, 0.0503, 0.0318
380, 0.0526, 0.0327
400, 0.0518, 0.0325
420, 0.0484, 0.0322
440, 0.0529, 0.0329
460, 0.0529, 0.0325
480, 0.0525, 0.0319
500, 0.0543, 0.0332
520, 0.0541, 0.0333
540, 0.0524, 0.0326
560, 0.0548, 0.0334
