Epoch, train Loss, test loss
1, 1.0983, 1.4074
20, 0.3115, 0.5103
40, 0.0879, 0.3797
60, 0.0626, 0.3727
80, 0.0510, 0.3601
100, 0.0488, 0.3577
120, 0.0431, 0.3529
140, 0.0418, 0.3532
160, 0.0412, 0.3495
180, 0.0410, 0.3468
200, 0.0390, 0.3487
220, 0.0406, 0.3512
240, 0.0386, 0.3513
260, 0.0393, 0.3483
280, 0.0379, 0.3463
300, 0.0388, 0.3469
320, 0.0371, 0.3436
340, 0.0349, 0.3473
360, 0.0311, 0.3490
380, 0.0281, 0.3592
400, 0.0241, 0.3616
420, 0.0197, 0.3633
440, 0.0181, 0.3624
460, 0.0146, 0.3611
480, 0.0130, 0.3586
500, 0.0114, 0.3538
520, 0.0105, 0.3483
540, 0.0092, 0.3463
560, 0.0089, 0.3411
580, 0.0090, 0.3362
600, 0.0086, 0.3409
620, 0.0089, 0.3346
640, 0.0086, 0.3331
660, 0.0076, 0.3285
680, 0.0080, 0.3304
700, 0.0079, 0.3319
720, 0.0080, 0.3304
740, 0.0077, 0.3310
760, 0.0074, 0.3264
780, 0.0070, 0.3282
800, 0.0076, 0.3237
820, 0.0073, 0.3288
840, 0.0066, 0.3267
860, 0.0074, 0.3241
880, 0.0070, 0.3176
900, 0.0071, 0.3218
920, 0.0067, 0.3217
940, 0.0066, 0.3226
960, 0.0069, 0.3222
980, 0.0069, 0.3213
1000, 0.0073, 0.3163
1020, 0.0069, 0.3217
1040, 0.0060, 0.3223
1060, 0.0069, 0.3198
1080, 0.0066, 0.3204
1100, 0.0062, 0.3231
1120, 0.0068, 0.3212
1140, 0.0068, 0.3207
1160, 0.0066, 0.3224
1180, 0.0069, 0.3187
1200, 0.0062, 0.3254
1220, 0.0064, 0.3248
1240, 0.0063, 0.3219
1260, 0.0066, 0.3209
1280, 0.0068, 0.3218
1300, 0.0066, 0.3184
1320, 0.0063, 0.3200
1340, 0.0063, 0.3183
1360, 0.0066, 0.3199
1380, 0.0060, 0.3177
1400, 0.0066, 0.3182
1420, 0.0064, 0.3166
1440, 0.0067, 0.3175
1460, 0.0064, 0.3179
1480, 0.0065, 0.3145
1500, 0.0067, 0.3143
1520, 0.0060, 0.3157
1540, 0.0064, 0.3106
1560, 0.0064, 0.3122
1580, 0.0062, 0.3125
1600, 0.0066, 0.3104
1620, 0.0064, 0.3100
1640, 0.0058, 0.3115
1660, 0.0067, 0.3108
1680, 0.0061, 0.3159
1700, 0.0059, 0.3082
1720, 0.0058, 0.3137
1740, 0.0059, 0.3122
1760, 0.0060, 0.3042
1780, 0.0065, 0.3082
1800, 0.0064, 0.3118
1820, 0.0066, 0.3083
1840, 0.0069, 0.3080
1860, 0.0061, 0.3090
1880, 0.0060, 0.3100
1900, 0.0063, 0.3086
1920, 0.0062, 0.3082
1940, 0.0063, 0.3082
1960, 0.0060, 0.3019
1980, 0.0063, 0.3032
2000, 0.0069, 0.3119
