Epoch, train Loss, test loss
1, 0.8776, 0.7934
20, 0.1868, 0.0859
40, 0.0584, 0.0540
60, 0.0437, 0.0443
80, 0.0408, 0.0501
100, 0.0429, 0.0444
120, 0.0411, 0.0433
140, 0.0385, 0.0433
160, 0.0326, 0.0433
180, 0.0261, 0.0455
200, 0.0195, 0.0437
220, 0.0167, 0.0406
240, 0.0130, 0.0369
260, 0.0118, 0.0386
280, 0.0094, 0.0366
300, 0.0107, 0.0405
320, 0.0100, 0.0349
340, 0.0088, 0.0341
360, 0.0081, 0.0328
380, 0.0078, 0.0330
400, 0.0079, 0.0325
420, 0.0071, 0.0345
440, 0.0081, 0.0318
460, 0.0078, 0.0315
480, 0.0081, 0.0340
500, 0.0081, 0.0314
520, 0.0078, 0.0334
