Epoch, train Loss, test loss
1, 0.7175, 0.6230
20, 0.1402, 0.0523
40, 0.0561, 0.0312
60, 0.0557, 0.0342
80, 0.0547, 0.0343
100, 0.0504, 0.0314
120, 0.0555, 0.0316
140, 0.0531, 0.0327
160, 0.0486, 0.0316
180, 0.0521, 0.0323
200, 0.0521, 0.0320
220, 0.0536, 0.0341
240, 0.0522, 0.0318
260, 0.0447, 0.0300
280, 0.0468, 0.0324
300, 0.0615, 0.0370
320, 0.0516, 0.0318
340, 0.0566, 0.0336
360, 0.0486, 0.0307
380, 0.0580, 0.0337
400, 0.0553, 0.0334
420, 0.0529, 0.0328
440, 0.0510, 0.0323
460, 0.0496, 0.0339
480, 0.0500, 0.0329
500, 0.0452, 0.0350
520, 0.0361, 0.0344
