Epoch, train Loss, test loss
1, 0.8742, 0.7867
20, 0.1987, 0.0780
40, 0.0737, 0.0398
60, 0.0573, 0.0319
80, 0.0510, 0.0324
100, 0.0540, 0.0320
120, 0.0515, 0.0318
140, 0.0516, 0.0327
160, 0.0521, 0.0315
180, 0.0507, 0.0303
200, 0.0501, 0.0338
220, 0.0508, 0.0308
240, 0.0506, 0.0329
260, 0.0520, 0.0300
280, 0.0511, 0.0311
300, 0.0533, 0.0327
320, 0.0526, 0.0320
340, 0.0515, 0.0335
360, 0.0503, 0.0303
380, 0.0526, 0.0314
400, 0.0516, 0.0327
420, 0.0485, 0.0317
440, 0.0530, 0.0321
460, 0.0528, 0.0326
480, 0.0522, 0.0316
500, 0.0544, 0.0339
520, 0.0541, 0.0324
540, 0.0524, 0.0324
560, 0.0550, 0.0332
580, 0.0514, 0.0324
600, 0.0507, 0.0305
620, 0.0513, 0.0312
640, 0.0538, 0.0333
