Epoch, train Loss, test loss
1, 0.8177, 0.8339
20, 0.2007, 0.1942
40, 0.0631, 0.1641
60, 0.0461, 0.1524
80, 0.0412, 0.1572
100, 0.0430, 0.1531
120, 0.0409, 0.1500
140, 0.0404, 0.1492
160, 0.0392, 0.1487
180, 0.0382, 0.1458
200, 0.0362, 0.1445
220, 0.0358, 0.1401
240, 0.0304, 0.1428
260, 0.0271, 0.1375
280, 0.0206, 0.1359
300, 0.0162, 0.1372
320, 0.0132, 0.1325
340, 0.0110, 0.1320
360, 0.0092, 0.1333
380, 0.0089, 0.1345
400, 0.0089, 0.1329
420, 0.0080, 0.1280
440, 0.0092, 0.1207
460, 0.0086, 0.1248
480, 0.0090, 0.1180
500, 0.0088, 0.1191
520, 0.0087, 0.1193
