Epoch, train Loss, test loss
1, 0.7504, 0.7161
20, 0.1613, 0.0581
40, 0.0690, 0.0476
60, 0.0620, 0.0386
80, 0.0546, 0.0343
100, 0.0543, 0.0337
120, 0.0534, 0.0343
140, 0.0469, 0.0315
160, 0.0560, 0.0340
180, 0.0533, 0.0319
200, 0.0576, 0.0335
220, 0.0526, 0.0377
240, 0.0514, 0.0334
260, 0.0497, 0.0333
280, 0.0556, 0.0351
300, 0.0537, 0.0354
320, 0.0525, 0.0336
340, 0.0543, 0.0324
360, 0.0488, 0.0323
380, 0.0496, 0.0333
400, 0.0517, 0.0340
420, 0.0532, 0.0338
440, 0.0493, 0.0328
460, 0.0489, 0.0315
480, 0.0526, 0.0339
500, 0.0517, 0.0331
520, 0.0528, 0.0320
540, 0.0528, 0.0345
