Epoch, train Loss, test loss
1, 0.7406, 0.8298
20, 0.2117, 0.1950
40, 0.0700, 0.1428
60, 0.0537, 0.1272
80, 0.0443, 0.1180
100, 0.0426, 0.1145
120, 0.0411, 0.1069
140, 0.0390, 0.1053
160, 0.0453, 0.1041
180, 0.0417, 0.0909
200, 0.0468, 0.0890
220, 0.0433, 0.0795
240, 0.0424, 0.0676
260, 0.0404, 0.0643
280, 0.0430, 0.0618
300, 0.0410, 0.0535
320, 0.0391, 0.0574
340, 0.0412, 0.0508
360, 0.0347, 0.0557
380, 0.0339, 0.0485
400, 0.0347, 0.0500
420, 0.0345, 0.0510
440, 0.0314, 0.0434
460, 0.0278, 0.0428
480, 0.0273, 0.0395
500, 0.0250, 0.0416
520, 0.0256, 0.0436
