Epoch, train Loss, test loss
1, 1.0470, 0.7122
20, 0.2183, 0.0471
40, 0.0458, 0.0296
60, 0.0224, 0.0176
80, 0.0146, 0.0149
100, 0.0127, 0.0122
120, 0.0121, 0.0091
140, 0.0109, 0.0081
160, 0.0108, 0.0086
180, 0.0100, 0.0079
200, 0.0103, 0.0075
220, 0.0096, 0.0087
240, 0.0096, 0.0075
260, 0.0092, 0.0075
280, 0.0093, 0.0074
300, 0.0087, 0.0076
320, 0.0107, 0.0073
340, 0.0086, 0.0073
360, 0.0088, 0.0071
380, 0.0088, 0.0071
400, 0.0095, 0.0075
420, 0.0110, 0.0074
440, 0.0090, 0.0070
460, 0.0099, 0.0076
480, 0.0089, 0.0073
500, 0.0103, 0.0076
520, 0.0097, 0.0080
540, 0.0104, 0.0087
560, 0.0102, 0.0103
580, 0.0111, 0.0086
600, 0.0101, 0.0074
620, 0.0087, 0.0071
640, 0.0096, 0.0073
660, 0.0096, 0.0071
680, 0.0092, 0.0073
700, 0.0086, 0.0073
720, 0.0104, 0.0085
740, 0.0103, 0.0076
760, 0.0094, 0.0079
780, 0.0079, 0.0071
800, 0.0098, 0.0077
820, 0.0083, 0.0078
840, 0.0105, 0.0091
860, 0.0115, 0.0076
880, 0.0115, 0.0075
900, 0.0087, 0.0076
920, 0.0098, 0.0074
940, 0.0098, 0.0073
960, 0.0095, 0.0076
980, 0.0102, 0.0075
1000, 0.0115, 0.0072
1020, 0.0098, 0.0077
1040, 0.0096, 0.0072
1060, 0.0112, 0.0089
1080, 0.0089, 0.0077
1100, 0.0101, 0.0073
1120, 0.0089, 0.0076
1140, 0.0085, 0.0076
1160, 0.0098, 0.0078
1180, 0.0104, 0.0072
1200, 0.0095, 0.0073
1220, 0.0108, 0.0075
1240, 0.0118, 0.0099
1260, 0.0120, 0.0077
1280, 0.0093, 0.0074
1300, 0.0084, 0.0072
1320, 0.0091, 0.0076
1340, 0.0091, 0.0075
1360, 0.0096, 0.0074
1380, 0.0089, 0.0071
1400, 0.0096, 0.0074
1420, 0.0095, 0.0074
1440, 0.0103, 0.0076
1460, 0.0100, 0.0077
1480, 0.0079, 0.0076
1500, 0.0095, 0.0072
1520, 0.0099, 0.0075
1540, 0.0085, 0.0073
1560, 0.0093, 0.0071
1580, 0.0107, 0.0074
1600, 0.0089, 0.0079
1620, 0.0107, 0.0071
1640, 0.0102, 0.0080
1660, 0.0094, 0.0081
1680, 0.0107, 0.0075
1700, 0.0108, 0.0073
1720, 0.0095, 0.0070
1740, 0.0093, 0.0072
1760, 0.0092, 0.0074
1780, 0.0102, 0.0077
1800, 0.0093, 0.0085
1820, 0.0095, 0.0075
1840, 0.0089, 0.0073
1860, 0.0088, 0.0075
1880, 0.0098, 0.0073
1900, 0.0078, 0.0071
1920, 0.0098, 0.0073
1940, 0.0087, 0.0069
1960, 0.0104, 0.0074
1980, 0.0110, 0.0078
2000, 0.0097, 0.0073
