Epoch, train Loss, test loss
1, 0.7504, 0.6240
20, 0.1411, 0.0495
40, 0.0593, 0.0324
60, 0.0528, 0.0322
80, 0.0506, 0.0323
100, 0.0518, 0.0317
120, 0.0530, 0.0331
140, 0.0458, 0.0303
160, 0.0560, 0.0325
180, 0.0522, 0.0310
200, 0.0563, 0.0330
220, 0.0526, 0.0350
240, 0.0511, 0.0322
260, 0.0485, 0.0313
280, 0.0553, 0.0357
300, 0.0526, 0.0332
320, 0.0518, 0.0319
340, 0.0524, 0.0334
360, 0.0459, 0.0356
380, 0.0460, 0.0413
400, 0.0467, 0.0431
420, 0.0467, 0.0533
440, 0.0435, 0.0404
460, 0.0386, 0.0445
480, 0.0359, 0.0373
500, 0.0300, 0.0347
520, 0.0287, 0.0357
