Epoch, train Loss, test loss
1, 0.8364, 0.9490
20, 0.2161, 0.0710
40, 0.0609, 0.0387
60, 0.0577, 0.0345
80, 0.0545, 0.0332
100, 0.0503, 0.0317
120, 0.0554, 0.0313
140, 0.0530, 0.0342
160, 0.0485, 0.0305
180, 0.0523, 0.0335
200, 0.0520, 0.0321
220, 0.0537, 0.0352
240, 0.0521, 0.0323
260, 0.0449, 0.0301
280, 0.0472, 0.0312
300, 0.0620, 0.0400
320, 0.0514, 0.0322
340, 0.0566, 0.0344
360, 0.0486, 0.0311
380, 0.0582, 0.0325
400, 0.0557, 0.0337
420, 0.0533, 0.0334
440, 0.0519, 0.0347
460, 0.0505, 0.0339
480, 0.0524, 0.0327
500, 0.0533, 0.0346
520, 0.0443, 0.0298
540, 0.0549, 0.0363
