Epoch, train Loss, test loss
1, 1.2467, 1.4381
20, 0.4754, 0.1181
40, 0.0921, 0.0755
60, 0.0735, 0.0565
80, 0.0681, 0.0530
100, 0.0690, 0.0502
120, 0.0619, 0.0475
140, 0.0607, 0.0450
160, 0.0618, 0.0429
180, 0.0598, 0.0407
200, 0.0563, 0.0391
220, 0.0550, 0.0376
240, 0.0543, 0.0360
260, 0.0548, 0.0352
280, 0.0519, 0.0349
300, 0.0554, 0.0347
320, 0.0546, 0.0338
340, 0.0526, 0.0333
360, 0.0509, 0.0335
380, 0.0534, 0.0336
400, 0.0527, 0.0331
420, 0.0487, 0.0328
440, 0.0529, 0.0330
460, 0.0531, 0.0330
480, 0.0529, 0.0324
500, 0.0546, 0.0325
520, 0.0542, 0.0337
