Epoch, train Loss, test loss
1, 0.8522, 0.9471
20, 0.2900, 0.1239
40, 0.0681, 0.1102
60, 0.0427, 0.0604
80, 0.0289, 0.0352
100, 0.0229, 0.0299
120, 0.0185, 0.0210
140, 0.0161, 0.0175
160, 0.0154, 0.0188
180, 0.0140, 0.0168
200, 0.0156, 0.0157
220, 0.0160, 0.0153
240, 0.0150, 0.0149
260, 0.0140, 0.0144
280, 0.0156, 0.0142
300, 0.0152, 0.0145
320, 0.0151, 0.0138
340, 0.0125, 0.0133
360, 0.0140, 0.0129
380, 0.0130, 0.0130
400, 0.0143, 0.0125
420, 0.0119, 0.0129
440, 0.0124, 0.0121
460, 0.0116, 0.0118
480, 0.0110, 0.0118
500, 0.0113, 0.0119
520, 0.0125, 0.0112
540, 0.0112, 0.0109
560, 0.0124, 0.0107
580, 0.0116, 0.0107
600, 0.0099, 0.0101
620, 0.0123, 0.0107
640, 0.0129, 0.0104
660, 0.0090, 0.0095
680, 0.0111, 0.0099
700, 0.0107, 0.0091
720, 0.0099, 0.0093
740, 0.0096, 0.0091
760, 0.0096, 0.0089
780, 0.0111, 0.0094
800, 0.0097, 0.0097
820, 0.0113, 0.0092
840, 0.0125, 0.0087
860, 0.0100, 0.0091
880, 0.0099, 0.0098
900, 0.0104, 0.0091
920, 0.0118, 0.0091
940, 0.0098, 0.0088
960, 0.0091, 0.0093
980, 0.0122, 0.0085
1000, 0.0102, 0.0083
1020, 0.0099, 0.0087
1040, 0.0111, 0.0083
1060, 0.0112, 0.0084
1080, 0.0097, 0.0090
1100, 0.0093, 0.0087
1120, 0.0107, 0.0087
1140, 0.0108, 0.0115
1160, 0.0119, 0.0088
1180, 0.0094, 0.0084
1200, 0.0119, 0.0082
1220, 0.0104, 0.0081
1240, 0.0086, 0.0081
1260, 0.0099, 0.0081
1280, 0.0105, 0.0095
1300, 0.0103, 0.0087
1320, 0.0106, 0.0084
1340, 0.0113, 0.0091
1360, 0.0085, 0.0084
1380, 0.0088, 0.0086
1400, 0.0111, 0.0104
1420, 0.0106, 0.0087
1440, 0.0099, 0.0085
1460, 0.0108, 0.0081
1480, 0.0099, 0.0082
1500, 0.0094, 0.0084
1520, 0.0100, 0.0082
1540, 0.0093, 0.0081
1560, 0.0078, 0.0082
1580, 0.0099, 0.0080
1600, 0.0106, 0.0106
1620, 0.0093, 0.0080
1640, 0.0081, 0.0081
1660, 0.0077, 0.0081
1680, 0.0134, 0.0091
1700, 0.0108, 0.0083
1720, 0.0112, 0.0082
1740, 0.0114, 0.0087
1760, 0.0115, 0.0083
1780, 0.0104, 0.0079
1800, 0.0079, 0.0085
1820, 0.0100, 0.0082
1840, 0.0097, 0.0091
1860, 0.0096, 0.0079
1880, 0.0109, 0.0082
1900, 0.0099, 0.0079
1920, 0.0097, 0.0086
1940, 0.0099, 0.0080
1960, 0.0109, 0.0080
1980, 0.0113, 0.0081
2000, 0.0111, 0.0090
