Epoch, train Loss, test loss
1, 0.7212, 0.8313
20, 0.2334, 0.1543
40, 0.0733, 0.1168
60, 0.0585, 0.0981
80, 0.0484, 0.0981
100, 0.0439, 0.0930
120, 0.0464, 0.0873
140, 0.0425, 0.0793
160, 0.0414, 0.0760
180, 0.0425, 0.0745
200, 0.0438, 0.0694
220, 0.0433, 0.0656
240, 0.0406, 0.0554
260, 0.0392, 0.0541
280, 0.0408, 0.0503
300, 0.0485, 0.0528
320, 0.0420, 0.0487
340, 0.0436, 0.0461
360, 0.0391, 0.0446
380, 0.0474, 0.0450
400, 0.0448, 0.0496
420, 0.0408, 0.0465
440, 0.0401, 0.0416
460, 0.0386, 0.0400
480, 0.0389, 0.0401
500, 0.0373, 0.0413
520, 0.0333, 0.0371
