Epoch, train Loss, test loss
1, 1.1535, 1.4263
20, 0.4477, 0.1279
40, 0.0875, 0.0578
60, 0.0720, 0.0552
80, 0.0641, 0.0474
100, 0.0621, 0.0407
120, 0.0565, 0.0347
140, 0.0474, 0.0301
160, 0.0557, 0.0323
180, 0.0519, 0.0317
200, 0.0561, 0.0323
220, 0.0523, 0.0333
240, 0.0508, 0.0315
260, 0.0484, 0.0319
280, 0.0548, 0.0327
300, 0.0525, 0.0322
320, 0.0514, 0.0320
340, 0.0532, 0.0317
360, 0.0483, 0.0308
380, 0.0492, 0.0315
400, 0.0512, 0.0330
420, 0.0533, 0.0323
440, 0.0483, 0.0309
460, 0.0483, 0.0299
480, 0.0527, 0.0324
500, 0.0512, 0.0317
520, 0.0523, 0.0309
540, 0.0529, 0.0339
