Epoch, train Loss, test loss
1, 1.0666, 1.2525
20, 0.3914, 0.1954
40, 0.0887, 0.0921
60, 0.0423, 0.0642
80, 0.0259, 0.0511
100, 0.0170, 0.0443
120, 0.0171, 0.0376
140, 0.0158, 0.0336
160, 0.0153, 0.0290
180, 0.0140, 0.0249
200, 0.0135, 0.0241
220, 0.0124, 0.0195
240, 0.0115, 0.0199
260, 0.0117, 0.0158
280, 0.0117, 0.0141
300, 0.0110, 0.0131
320, 0.0122, 0.0126
340, 0.0102, 0.0125
360, 0.0102, 0.0109
380, 0.0096, 0.0099
400, 0.0097, 0.0102
420, 0.0112, 0.0096
440, 0.0093, 0.0100
460, 0.0099, 0.0093
480, 0.0092, 0.0091
500, 0.0106, 0.0094
520, 0.0096, 0.0085
540, 0.0097, 0.0088
560, 0.0091, 0.0087
580, 0.0100, 0.0088
600, 0.0097, 0.0086
620, 0.0089, 0.0086
640, 0.0094, 0.0084
660, 0.0093, 0.0085
680, 0.0090, 0.0083
700, 0.0085, 0.0085
720, 0.0094, 0.0082
740, 0.0095, 0.0082
760, 0.0092, 0.0081
780, 0.0078, 0.0080
800, 0.0094, 0.0086
820, 0.0078, 0.0080
840, 0.0096, 0.0081
860, 0.0100, 0.0083
880, 0.0101, 0.0081
900, 0.0085, 0.0081
920, 0.0091, 0.0086
940, 0.0092, 0.0078
960, 0.0091, 0.0079
980, 0.0092, 0.0080
1000, 0.0104, 0.0078
1020, 0.0094, 0.0083
1040, 0.0089, 0.0078
1060, 0.0104, 0.0079
1080, 0.0080, 0.0078
1100, 0.0095, 0.0078
1120, 0.0087, 0.0084
1140, 0.0081, 0.0078
1160, 0.0090, 0.0078
1180, 0.0097, 0.0077
1200, 0.0090, 0.0077
1220, 0.0097, 0.0079
1240, 0.0103, 0.0079
1260, 0.0109, 0.0078
1280, 0.0089, 0.0076
1300, 0.0079, 0.0076
1320, 0.0086, 0.0075
1340, 0.0085, 0.0077
1360, 0.0091, 0.0076
1380, 0.0084, 0.0076
1400, 0.0088, 0.0076
1420, 0.0090, 0.0076
1440, 0.0096, 0.0074
1460, 0.0089, 0.0075
1480, 0.0075, 0.0076
1500, 0.0088, 0.0077
1520, 0.0092, 0.0076
1540, 0.0084, 0.0080
1560, 0.0089, 0.0075
1580, 0.0101, 0.0081
1600, 0.0087, 0.0081
1620, 0.0103, 0.0078
1640, 0.0095, 0.0078
1660, 0.0089, 0.0075
1680, 0.0099, 0.0078
1700, 0.0105, 0.0080
1720, 0.0091, 0.0077
1740, 0.0089, 0.0074
1760, 0.0090, 0.0078
1780, 0.0096, 0.0080
1800, 0.0085, 0.0077
1820, 0.0091, 0.0075
1840, 0.0084, 0.0076
1860, 0.0082, 0.0076
1880, 0.0093, 0.0075
1900, 0.0076, 0.0075
1920, 0.0097, 0.0074
1940, 0.0085, 0.0073
1960, 0.0101, 0.0073
1980, 0.0098, 0.0076
