Epoch, train Loss, test loss
1, 0.9004, 1.1470
20, 0.4152, 0.1841
40, 0.1064, 0.0655
60, 0.0666, 0.0394
80, 0.0523, 0.0347
100, 0.0503, 0.0340
120, 0.0506, 0.0339
140, 0.0435, 0.0332
160, 0.0521, 0.0329
180, 0.0478, 0.0323
200, 0.0512, 0.0347
220, 0.0467, 0.0358
240, 0.0453, 0.0337
260, 0.0426, 0.0350
280, 0.0462, 0.0361
300, 0.0425, 0.0412
320, 0.0401, 0.0418
340, 0.0397, 0.0413
360, 0.0342, 0.0315
380, 0.0306, 0.0307
400, 0.0315, 0.0388
420, 0.0334, 0.0348
440, 0.0317, 0.0360
460, 0.0280, 0.0366
480, 0.0286, 0.0318
500, 0.0274, 0.0328
520, 0.0308, 0.0377
