Epoch, train Loss, test loss
1, 1.4468, 1.6042
20, 0.4465, 0.0993
40, 0.1040, 0.0725
60, 0.0784, 0.0561
80, 0.0631, 0.0381
100, 0.0585, 0.0303
120, 0.0519, 0.0320
140, 0.0515, 0.0321
160, 0.0519, 0.0314
180, 0.0506, 0.0308
200, 0.0501, 0.0332
220, 0.0508, 0.0312
240, 0.0505, 0.0313
260, 0.0518, 0.0305
280, 0.0509, 0.0327
300, 0.0531, 0.0315
320, 0.0526, 0.0316
340, 0.0514, 0.0323
360, 0.0502, 0.0312
380, 0.0523, 0.0318
400, 0.0515, 0.0314
420, 0.0487, 0.0317
440, 0.0531, 0.0327
460, 0.0527, 0.0322
480, 0.0521, 0.0312
500, 0.0544, 0.0327
520, 0.0542, 0.0330
540, 0.0522, 0.0318
560, 0.0548, 0.0332
580, 0.0513, 0.0313
600, 0.0506, 0.0304
620, 0.0513, 0.0325
