Epoch, train Loss, test loss
1, 0.8177, 0.8341
20, 0.2007, 0.1942
40, 0.0630, 0.1646
60, 0.0460, 0.1529
80, 0.0412, 0.1579
100, 0.0429, 0.1538
120, 0.0408, 0.1512
140, 0.0402, 0.1498
160, 0.0389, 0.1495
180, 0.0379, 0.1465
200, 0.0357, 0.1448
220, 0.0350, 0.1412
240, 0.0294, 0.1411
260, 0.0260, 0.1346
280, 0.0195, 0.1331
300, 0.0152, 0.1305
320, 0.0124, 0.1274
340, 0.0106, 0.1269
360, 0.0087, 0.1258
380, 0.0083, 0.1251
400, 0.0082, 0.1244
420, 0.0074, 0.1236
440, 0.0081, 0.1221
460, 0.0076, 0.1248
480, 0.0080, 0.1189
500, 0.0079, 0.1244
520, 0.0078, 0.1279
