Epoch, train Loss, test loss
1, 1.2467, 1.4264
20, 0.4537, 0.1321
40, 0.0862, 0.0580
60, 0.0710, 0.0546
80, 0.0644, 0.0468
100, 0.0640, 0.0403
120, 0.0550, 0.0342
140, 0.0529, 0.0315
160, 0.0525, 0.0318
180, 0.0505, 0.0310
200, 0.0502, 0.0321
220, 0.0508, 0.0318
240, 0.0505, 0.0306
260, 0.0517, 0.0312
280, 0.0508, 0.0324
300, 0.0530, 0.0317
320, 0.0524, 0.0314
340, 0.0513, 0.0316
360, 0.0501, 0.0318
380, 0.0522, 0.0318
400, 0.0515, 0.0314
420, 0.0486, 0.0316
440, 0.0529, 0.0324
460, 0.0526, 0.0318
480, 0.0521, 0.0312
500, 0.0543, 0.0319
520, 0.0541, 0.0336
