Epoch, train Loss, test loss
1, 0.8756, 1.0165
20, 0.2158, 0.0722
40, 0.0618, 0.0386
60, 0.0579, 0.0338
80, 0.0550, 0.0345
100, 0.0505, 0.0320
120, 0.0558, 0.0316
140, 0.0528, 0.0355
160, 0.0489, 0.0307
180, 0.0525, 0.0335
200, 0.0522, 0.0326
220, 0.0538, 0.0358
240, 0.0524, 0.0321
260, 0.0452, 0.0297
280, 0.0471, 0.0344
300, 0.0616, 0.0393
320, 0.0516, 0.0323
340, 0.0566, 0.0335
360, 0.0487, 0.0305
380, 0.0584, 0.0347
400, 0.0553, 0.0336
420, 0.0537, 0.0338
440, 0.0521, 0.0349
460, 0.0509, 0.0322
480, 0.0527, 0.0339
500, 0.0538, 0.0335
520, 0.0447, 0.0302
540, 0.0550, 0.0349
