Epoch, train Loss, test loss
1, 0.8691, 0.9959
20, 0.2590, 0.1090
40, 0.0775, 0.0628
60, 0.0587, 0.0454
80, 0.0466, 0.0438
100, 0.0450, 0.0437
120, 0.0429, 0.0399
140, 0.0390, 0.0405
160, 0.0442, 0.0430
180, 0.0417, 0.0413
200, 0.0458, 0.0451
220, 0.0423, 0.0417
240, 0.0415, 0.0399
260, 0.0400, 0.0396
280, 0.0429, 0.0444
300, 0.0409, 0.0417
320, 0.0398, 0.0457
340, 0.0426, 0.0400
360, 0.0368, 0.0474
380, 0.0380, 0.0425
400, 0.0401, 0.0450
420, 0.0409, 0.0496
440, 0.0401, 0.0363
460, 0.0380, 0.0426
480, 0.0408, 0.0422
500, 0.0385, 0.0411
520, 0.0411, 0.0503
