Epoch, train Loss, test loss
1, 1.0657, 1.4668
20, 0.3238, 1.0262
40, 0.0901, 1.0708
60, 0.0675, 1.0685
80, 0.0513, 1.0465
100, 0.0483, 1.0455
120, 0.0432, 1.0366
140, 0.0401, 1.0390
160, 0.0428, 1.0371
180, 0.0388, 1.0317
200, 0.0430, 1.0295
220, 0.0359, 1.0232
240, 0.0344, 1.0237
260, 0.0318, 1.0235
280, 0.0335, 1.0219
300, 0.0313, 1.0123
320, 0.0291, 1.0037
340, 0.0312, 1.0125
360, 0.0263, 1.0040
380, 0.0258, 1.0026
400, 0.0260, 0.9917
420, 0.0250, 0.9830
440, 0.0242, 0.9903
460, 0.0218, 0.9899
480, 0.0212, 0.9847
500, 0.0200, 0.9838
520, 0.0214, 0.9693
540, 0.0188, 0.9676
560, 0.0164, 0.9638
580, 0.0189, 0.9639
600, 0.0164, 0.9622
620, 0.0174, 0.9473
640, 0.0158, 0.9356
660, 0.0171, 0.9300
680, 0.0150, 0.9399
700, 0.0136, 0.9320
720, 0.0134, 0.9307
740, 0.0138, 0.9312
760, 0.0117, 0.9242
780, 0.0132, 0.9180
800, 0.0126, 0.9015
820, 0.0123, 0.9039
840, 0.0119, 0.8977
860, 0.0123, 0.8955
880, 0.0125, 0.8862
900, 0.0116, 0.8820
920, 0.0110, 0.8804
940, 0.0110, 0.8662
960, 0.0112, 0.8686
980, 0.0109, 0.8598
1000, 0.0120, 0.8600
1020, 0.0110, 0.8572
1040, 0.0107, 0.8477
1060, 0.0102, 0.8421
1080, 0.0091, 0.8317
1100, 0.0090, 0.8297
1120, 0.0100, 0.8355
1140, 0.0093, 0.8225
1160, 0.0100, 0.8164
1180, 0.0091, 0.8143
1200, 0.0096, 0.8106
1220, 0.0096, 0.8057
1240, 0.0096, 0.7916
1260, 0.0091, 0.8007
1280, 0.0099, 0.7931
1300, 0.0083, 0.7773
1320, 0.0087, 0.7783
1340, 0.0095, 0.7861
1360, 0.0089, 0.7869
1380, 0.0095, 0.7690
1400, 0.0097, 0.7541
1420, 0.0094, 0.7425
1440, 0.0102, 0.7522
1460, 0.0092, 0.7510
1480, 0.0089, 0.7422
1500, 0.0082, 0.7448
1520, 0.0090, 0.7219
1540, 0.0084, 0.7215
1560, 0.0082, 0.7139
1580, 0.0092, 0.7027
1600, 0.0088, 0.6938
1620, 0.0082, 0.7035
1640, 0.0096, 0.6848
1660, 0.0083, 0.6799
1680, 0.0081, 0.6639
1700, 0.0086, 0.6657
1720, 0.0093, 0.6629
1740, 0.0088, 0.6580
1760, 0.0085, 0.6498
1780, 0.0083, 0.6366
1800, 0.0088, 0.6359
1820, 0.0083, 0.6308
1840, 0.0079, 0.6223
1860, 0.0080, 0.6226
1880, 0.0074, 0.6186
1900, 0.0084, 0.6147
1920, 0.0084, 0.6023
1940, 0.0081, 0.6050
1960, 0.0094, 0.5901
1980, 0.0094, 0.5668
2000, 0.0094, 0.5587
