Epoch, train Loss, test loss
1, 1.1370, 1.4260
20, 0.4712, 0.0803
40, 0.0890, 0.0807
60, 0.0731, 0.0592
80, 0.0670, 0.0540
100, 0.0668, 0.0503
120, 0.0632, 0.0474
140, 0.0573, 0.0444
160, 0.0619, 0.0421
180, 0.0590, 0.0402
200, 0.0632, 0.0389
220, 0.0558, 0.0381
240, 0.0534, 0.0363
260, 0.0508, 0.0358
280, 0.0572, 0.0357
300, 0.0559, 0.0349
320, 0.0538, 0.0343
340, 0.0549, 0.0335
360, 0.0500, 0.0327
380, 0.0500, 0.0328
400, 0.0516, 0.0336
420, 0.0532, 0.0335
440, 0.0490, 0.0326
460, 0.0491, 0.0317
480, 0.0525, 0.0324
500, 0.0514, 0.0327
520, 0.0529, 0.0320
