Epoch, train Loss, test loss
1, 0.4704, 0.3807
20, 0.1426, 0.0648
40, 0.0297, 0.0421
60, 0.0151, 0.0329
80, 0.0125, 0.0302
100, 0.0105, 0.0272
120, 0.0086, 0.0249
140, 0.0082, 0.0228
160, 0.0086, 0.0209
180, 0.0077, 0.0218
200, 0.0075, 0.0192
220, 0.0080, 0.0169
240, 0.0084, 0.0183
260, 0.0084, 0.0172
280, 0.0080, 0.0156
300, 0.0082, 0.0156
320, 0.0077, 0.0138
340, 0.0079, 0.0133
360, 0.0076, 0.0132
380, 0.0079, 0.0145
400, 0.0072, 0.0109
420, 0.0076, 0.0110
440, 0.0084, 0.0110
460, 0.0074, 0.0111
480, 0.0077, 0.0125
500, 0.0094, 0.0113
520, 0.0078, 0.0098
540, 0.0078, 0.0095
560, 0.0075, 0.0097
580, 0.0070, 0.0095
600, 0.0077, 0.0091
620, 0.0081, 0.0100
640, 0.0080, 0.0090
660, 0.0064, 0.0088
680, 0.0071, 0.0095
700, 0.0071, 0.0091
720, 0.0076, 0.0088
740, 0.0068, 0.0089
760, 0.0076, 0.0100
780, 0.0073, 0.0093
800, 0.0078, 0.0096
820, 0.0082, 0.0093
840, 0.0079, 0.0118
860, 0.0082, 0.0095
880, 0.0070, 0.0093
900, 0.0073, 0.0090
920, 0.0070, 0.0086
940, 0.0074, 0.0092
960, 0.0073, 0.0089
980, 0.0073, 0.0084
1000, 0.0078, 0.0086
1020, 0.0079, 0.0091
1040, 0.0065, 0.0083
1060, 0.0076, 0.0084
1080, 0.0072, 0.0086
1100, 0.0072, 0.0099
1120, 0.0075, 0.0086
1140, 0.0070, 0.0090
1160, 0.0077, 0.0086
1180, 0.0081, 0.0104
1200, 0.0082, 0.0086
1220, 0.0073, 0.0088
1240, 0.0069, 0.0091
1260, 0.0080, 0.0095
1280, 0.0077, 0.0091
1300, 0.0080, 0.0090
1320, 0.0072, 0.0091
1340, 0.0071, 0.0092
1360, 0.0072, 0.0083
1380, 0.0075, 0.0094
1400, 0.0075, 0.0086
1420, 0.0073, 0.0082
1440, 0.0068, 0.0085
1460, 0.0080, 0.0095
1480, 0.0073, 0.0085
1500, 0.0079, 0.0085
1520, 0.0071, 0.0087
1540, 0.0073, 0.0085
1560, 0.0072, 0.0090
1580, 0.0069, 0.0084
1600, 0.0081, 0.0091
1620, 0.0071, 0.0086
1640, 0.0068, 0.0092
1660, 0.0076, 0.0082
1680, 0.0071, 0.0091
1700, 0.0069, 0.0089
1720, 0.0065, 0.0080
1740, 0.0073, 0.0093
1760, 0.0075, 0.0084
1780, 0.0074, 0.0087
1800, 0.0070, 0.0082
1820, 0.0082, 0.0094
1840, 0.0072, 0.0085
1860, 0.0076, 0.0089
1880, 0.0070, 0.0088
1900, 0.0078, 0.0092
1920, 0.0074, 0.0090
1940, 0.0068, 0.0092
1960, 0.0080, 0.0085
1980, 0.0080, 0.0092
2000, 0.0074, 0.0088
