Epoch, train Loss, test loss
1, 1.2655, 1.2265
20, 0.3109, 0.0577
40, 0.0549, 0.0381
60, 0.0244, 0.0247
80, 0.0170, 0.0245
100, 0.0137, 0.0187
120, 0.0107, 0.0195
140, 0.0097, 0.0166
160, 0.0099, 0.0198
180, 0.0087, 0.0173
200, 0.0100, 0.0158
220, 0.0092, 0.0142
240, 0.0091, 0.0115
260, 0.0106, 0.0211
280, 0.0104, 0.0140
300, 0.0095, 0.0136
320, 0.0085, 0.0115
340, 0.0082, 0.0111
360, 0.0084, 0.0115
380, 0.0080, 0.0133
400, 0.0093, 0.0109
420, 0.0085, 0.0114
440, 0.0081, 0.0140
460, 0.0093, 0.0128
480, 0.0083, 0.0111
500, 0.0079, 0.0111
520, 0.0080, 0.0099
540, 0.0087, 0.0103
560, 0.0085, 0.0113
580, 0.0092, 0.0112
600, 0.0079, 0.0092
620, 0.0086, 0.0104
640, 0.0098, 0.0102
660, 0.0080, 0.0090
680, 0.0086, 0.0096
700, 0.0072, 0.0090
720, 0.0071, 0.0086
740, 0.0069, 0.0091
760, 0.0074, 0.0085
780, 0.0082, 0.0095
800, 0.0074, 0.0088
820, 0.0089, 0.0099
840, 0.0102, 0.0091
860, 0.0076, 0.0099
880, 0.0086, 0.0102
900, 0.0085, 0.0080
920, 0.0093, 0.0090
940, 0.0088, 0.0091
960, 0.0074, 0.0088
980, 0.0094, 0.0085
1000, 0.0085, 0.0094
1020, 0.0078, 0.0082
1040, 0.0084, 0.0094
1060, 0.0094, 0.0090
1080, 0.0077, 0.0090
1100, 0.0072, 0.0096
1120, 0.0084, 0.0100
1140, 0.0086, 0.0091
1160, 0.0099, 0.0115
1180, 0.0086, 0.0103
1200, 0.0097, 0.0086
1220, 0.0082, 0.0086
1240, 0.0068, 0.0081
1260, 0.0079, 0.0086
1280, 0.0085, 0.0090
1300, 0.0086, 0.0089
1320, 0.0084, 0.0095
1340, 0.0103, 0.0094
1360, 0.0075, 0.0092
1380, 0.0071, 0.0085
1400, 0.0083, 0.0091
1420, 0.0083, 0.0083
1440, 0.0086, 0.0087
1460, 0.0085, 0.0098
1480, 0.0096, 0.0095
1500, 0.0089, 0.0110
1520, 0.0090, 0.0091
1540, 0.0073, 0.0090
1560, 0.0065, 0.0080
1580, 0.0082, 0.0083
1600, 0.0083, 0.0098
1620, 0.0074, 0.0083
1640, 0.0067, 0.0083
1660, 0.0065, 0.0088
1680, 0.0113, 0.0087
1700, 0.0079, 0.0086
1720, 0.0089, 0.0087
1740, 0.0092, 0.0084
1760, 0.0083, 0.0089
1780, 0.0093, 0.0098
1800, 0.0068, 0.0093
1820, 0.0087, 0.0097
1840, 0.0075, 0.0084
1860, 0.0075, 0.0088
1880, 0.0094, 0.0080
1900, 0.0080, 0.0086
1920, 0.0077, 0.0079
1940, 0.0095, 0.0086
1960, 0.0099, 0.0084
1980, 0.0096, 0.0086
2000, 0.0094, 0.0083
