Epoch, train Loss, test loss
1, 0.9879, 0.8385
20, 0.2503, 0.0807
40, 0.0495, 0.0482
60, 0.0228, 0.0318
80, 0.0166, 0.0271
100, 0.0124, 0.0257
120, 0.0115, 0.0242
140, 0.0095, 0.0200
160, 0.0096, 0.0228
180, 0.0086, 0.0222
200, 0.0096, 0.0239
220, 0.0088, 0.0190
240, 0.0087, 0.0202
260, 0.0080, 0.0191
280, 0.0072, 0.0180
300, 0.0092, 0.0183
320, 0.0076, 0.0181
340, 0.0079, 0.0180
360, 0.0085, 0.0200
380, 0.0077, 0.0174
400, 0.0076, 0.0196
420, 0.0082, 0.0188
440, 0.0078, 0.0164
460, 0.0070, 0.0194
480, 0.0071, 0.0172
500, 0.0062, 0.0175
520, 0.0080, 0.0174
540, 0.0068, 0.0161
560, 0.0064, 0.0159
580, 0.0069, 0.0172
600, 0.0068, 0.0164
620, 0.0064, 0.0156
640, 0.0063, 0.0153
660, 0.0070, 0.0151
680, 0.0077, 0.0153
700, 0.0073, 0.0162
720, 0.0072, 0.0156
740, 0.0074, 0.0177
760, 0.0078, 0.0156
780, 0.0065, 0.0152
800, 0.0061, 0.0148
820, 0.0056, 0.0150
840, 0.0062, 0.0150
860, 0.0059, 0.0151
880, 0.0063, 0.0160
900, 0.0078, 0.0149
920, 0.0067, 0.0148
940, 0.0064, 0.0153
960, 0.0065, 0.0158
980, 0.0063, 0.0145
1000, 0.0073, 0.0141
1020, 0.0076, 0.0141
1040, 0.0066, 0.0149
1060, 0.0062, 0.0147
1080, 0.0059, 0.0154
1100, 0.0061, 0.0146
1120, 0.0059, 0.0148
1140, 0.0064, 0.0156
1160, 0.0063, 0.0150
1180, 0.0060, 0.0157
1200, 0.0065, 0.0147
1220, 0.0064, 0.0136
1240, 0.0060, 0.0141
1260, 0.0064, 0.0144
1280, 0.0054, 0.0138
1300, 0.0054, 0.0146
1320, 0.0060, 0.0136
1340, 0.0069, 0.0179
1360, 0.0071, 0.0150
1380, 0.0065, 0.0137
1400, 0.0061, 0.0139
1420, 0.0064, 0.0136
1440, 0.0060, 0.0137
1460, 0.0055, 0.0130
1480, 0.0060, 0.0140
1500, 0.0063, 0.0160
1520, 0.0054, 0.0145
1540, 0.0060, 0.0145
1560, 0.0074, 0.0138
1580, 0.0052, 0.0130
1600, 0.0062, 0.0147
1620, 0.0059, 0.0136
1640, 0.0058, 0.0133
1660, 0.0057, 0.0137
1680, 0.0059, 0.0138
1700, 0.0059, 0.0141
1720, 0.0058, 0.0141
1740, 0.0081, 0.0153
1760, 0.0062, 0.0154
1780, 0.0064, 0.0136
1800, 0.0071, 0.0136
1820, 0.0070, 0.0152
1840, 0.0061, 0.0133
1860, 0.0068, 0.0138
1880, 0.0052, 0.0131
1900, 0.0055, 0.0142
1920, 0.0052, 0.0134
1940, 0.0055, 0.0137
1960, 0.0054, 0.0136
1980, 0.0051, 0.0132
2000, 0.0062, 0.0139
