Epoch, train Loss, test loss
1, 1.0131, 0.9113
20, 0.1897, 0.1868
40, 0.0274, 0.1925
60, 0.0152, 0.1797
80, 0.0121, 0.1697
100, 0.0113, 0.1576
120, 0.0102, 0.1476
140, 0.0094, 0.1305
160, 0.0106, 0.1110
180, 0.0112, 0.0921
200, 0.0102, 0.0598
220, 0.0099, 0.0529
240, 0.0090, 0.0387
260, 0.0102, 0.0346
280, 0.0096, 0.0223
300, 0.0095, 0.0217
320, 0.0088, 0.0161
340, 0.0090, 0.0144
360, 0.0095, 0.0173
380, 0.0109, 0.0110
400, 0.0085, 0.0097
420, 0.0077, 0.0095
440, 0.0083, 0.0093
460, 0.0090, 0.0085
480, 0.0084, 0.0084
500, 0.0095, 0.0096
520, 0.0095, 0.0088
540, 0.0085, 0.0095
560, 0.0086, 0.0087
580, 0.0091, 0.0091
600, 0.0086, 0.0090
620, 0.0092, 0.0084
640, 0.0085, 0.0083
660, 0.0084, 0.0094
680, 0.0090, 0.0088
700, 0.0083, 0.0085
720, 0.0089, 0.0089
740, 0.0083, 0.0092
760, 0.0082, 0.0085
780, 0.0097, 0.0080
800, 0.0085, 0.0083
820, 0.0084, 0.0094
840, 0.0089, 0.0090
860, 0.0085, 0.0083
880, 0.0090, 0.0082
900, 0.0086, 0.0079
920, 0.0074, 0.0087
940, 0.0089, 0.0089
960, 0.0088, 0.0094
980, 0.0093, 0.0084
1000, 0.0088, 0.0081
1020, 0.0080, 0.0080
1040, 0.0078, 0.0080
1060, 0.0098, 0.0079
1080, 0.0077, 0.0082
1100, 0.0085, 0.0085
1120, 0.0086, 0.0083
1140, 0.0087, 0.0082
1160, 0.0080, 0.0082
1180, 0.0089, 0.0083
1200, 0.0080, 0.0080
1220, 0.0080, 0.0079
1240, 0.0086, 0.0082
1260, 0.0080, 0.0079
1280, 0.0087, 0.0078
1300, 0.0079, 0.0080
1320, 0.0085, 0.0076
1340, 0.0089, 0.0089
1360, 0.0079, 0.0078
1380, 0.0085, 0.0083
1400, 0.0090, 0.0087
1420, 0.0081, 0.0077
1440, 0.0080, 0.0080
1460, 0.0079, 0.0079
1480, 0.0086, 0.0076
1500, 0.0083, 0.0082
1520, 0.0086, 0.0080
1540, 0.0090, 0.0088
1560, 0.0083, 0.0087
1580, 0.0088, 0.0082
1600, 0.0086, 0.0085
1620, 0.0077, 0.0077
1640, 0.0080, 0.0085
1660, 0.0085, 0.0080
1680, 0.0081, 0.0084
1700, 0.0082, 0.0084
1720, 0.0086, 0.0080
1740, 0.0078, 0.0079
1760, 0.0083, 0.0077
1780, 0.0078, 0.0079
1800, 0.0073, 0.0078
1820, 0.0090, 0.0080
1840, 0.0086, 0.0089
1860, 0.0085, 0.0083
1880, 0.0077, 0.0092
1900, 0.0085, 0.0082
1920, 0.0076, 0.0085
1940, 0.0072, 0.0091
1960, 0.0089, 0.0083
1980, 0.0082, 0.0080
2000, 0.0078, 0.0082
