Epoch, train Loss, test loss
1, 0.9725, 1.7734
20, 0.4526, 1.3238
40, 0.1383, 1.1778
60, 0.0781, 1.1340
80, 0.0577, 1.1345
100, 0.0470, 1.1090
120, 0.0476, 1.0838
140, 0.0415, 1.0923
160, 0.0374, 1.0880
180, 0.0370, 1.0900
200, 0.0376, 1.0862
220, 0.0362, 1.0754
240, 0.0323, 1.0667
260, 0.0307, 1.0666
280, 0.0316, 1.0614
300, 0.0358, 1.0722
320, 0.0321, 1.0710
340, 0.0313, 1.0695
360, 0.0287, 1.0734
380, 0.0347, 1.0661
400, 0.0303, 1.0598
420, 0.0266, 1.0557
440, 0.0253, 1.0465
460, 0.0254, 1.0407
480, 0.0249, 1.0222
500, 0.0230, 1.0464
520, 0.0220, 1.0048
540, 0.0244, 0.9943
560, 0.0244, 1.0004
580, 0.0222, 0.9611
600, 0.0211, 0.9827
620, 0.0174, 0.9502
640, 0.0170, 0.9795
660, 0.0181, 0.9334
680, 0.0161, 0.9490
700, 0.0162, 0.9487
720, 0.0137, 0.9379
740, 0.0143, 0.9378
760, 0.0131, 0.9307
780, 0.0140, 0.9198
800, 0.0130, 0.9127
820, 0.0127, 0.9106
840, 0.0140, 0.8942
860, 0.0119, 0.8850
880, 0.0122, 0.8953
900, 0.0126, 0.8992
920, 0.0109, 0.8703
940, 0.0132, 0.8467
960, 0.0126, 0.8544
980, 0.0118, 0.8517
1000, 0.0108, 0.8544
1020, 0.0111, 0.8579
1040, 0.0136, 0.8587
1060, 0.0110, 0.8577
1080, 0.0098, 0.8363
1100, 0.0095, 0.8311
1120, 0.0084, 0.8240
1140, 0.0108, 0.8339
1160, 0.0095, 0.8288
1180, 0.0090, 0.8390
1200, 0.0090, 0.8164
1220, 0.0102, 0.8215
1240, 0.0095, 0.8091
1260, 0.0086, 0.8079
1280, 0.0094, 0.8108
1300, 0.0092, 0.7914
1320, 0.0096, 0.8049
1340, 0.0085, 0.7992
1360, 0.0074, 0.7818
1380, 0.0076, 0.7757
1400, 0.0080, 0.7960
1420, 0.0077, 0.8059
1440, 0.0096, 0.7962
1460, 0.0079, 0.7770
1480, 0.0092, 0.7789
1500, 0.0071, 0.7890
1520, 0.0098, 0.7797
1540, 0.0105, 0.7781
1560, 0.0118, 0.7642
1580, 0.0116, 0.7801
1600, 0.0110, 0.7327
1620, 0.0094, 0.7347
1640, 0.0088, 0.7184
1660, 0.0067, 0.7232
1680, 0.0089, 0.6955
1700, 0.0078, 0.7007
1720, 0.0085, 0.6859
1740, 0.0087, 0.7057
1760, 0.0082, 0.6876
1780, 0.0093, 0.6910
1800, 0.0068, 0.6846
1820, 0.0077, 0.7036
1840, 0.0081, 0.6997
1860, 0.0082, 0.6821
1880, 0.0080, 0.6846
1900, 0.0087, 0.6799
1920, 0.0077, 0.6733
1940, 0.0078, 0.6699
1960, 0.0088, 0.6745
1980, 0.0093, 0.6801
2000, 0.0081, 0.6731
