iteration,L2O_q25,L2O_q50,L2O_q75
1,1.0,1.0,1.0
2,0.35623230785131454,0.43570226430892944,0.5347962975502014
3,0.1325094886124134,0.1924474537372589,0.28033430874347687
4,0.06099323648959398,0.0917772650718689,0.14799626544117928
5,0.026340330485254526,0.04474854655563831,0.07637266628444195
6,0.014243385754525661,0.024389670230448246,0.04506433382630348
7,0.0075027585262432694,0.014507942833006382,0.027841751463711262
8,0.004460798925720155,0.009383609518408775,0.017887216992676258
9,0.002796857210341841,0.0063093784265220165,0.012261051684617996
10,0.0018936426204163581,0.0042208118829876184,0.009120594011619687
11,0.0012331762700341642,0.002969905501231551,0.006532371859066188
12,0.0008914247155189514,0.0022380007430911064,0.004980805446393788
13,0.0006717450160067528,0.0016637687222100794,0.003907998383510858
14,0.0005063416319899261,0.0013274793163873255,0.003273950598668307
15,0.00038501846574945375,0.001035599212627858,0.0025081990170292556
16,0.0003158625841024332,0.0008662795298732817,0.0021570752724073827
17,0.0002635568525874987,0.0006967303343117237,0.0018272105080541223
18,0.00021092613678774796,0.0005739507323596627,0.0015075461415108293
19,0.0001812042719393503,0.0005029628227930516,0.0013265787856653333
20,0.0001565110324008856,0.000427612365456298,0.00122368847951293
21,0.00014700657266075723,0.00039081530121620744,0.0010660187690518796
22,0.00012389893163344823,0.0003623895754572004,0.0010071398282889277
23,0.00012050153236486949,0.00032286011264659464,0.0009012342634378001
24,0.00010261945317324717,0.0003011447115568444,0.0008010087767615914
25,8.901140608941205e-05,0.00027572765247896314,0.0007391173421638086
26,9.205398418998811e-05,0.00025290499615948647,0.000707010825863108
27,8.746495404921006e-05,0.00024388471501879394,0.0006474738474935293
28,7.744286449451465e-05,0.00021691127767553553,0.0006002535810694098
29,8.112316572805867e-05,0.00021269642456900328,0.0005612466047750786
30,7.583451952086762e-05,0.0001946241027326323,0.0005395095358835533
31,7.368064871116076e-05,0.00019178714865120128,0.0004986294225091115
32,6.915951234987006e-05,0.0001887883699964732,0.0004894597950624302
33,6.833576662756968e-05,0.0001860345946624875,0.0004680044294218533
34,6.0149213823024184e-05,0.0001793676638044417,0.0004515082109719515
35,6.626214781135786e-05,0.0001785904823918827,0.0004389072200865485
36,6.447765190387145e-05,0.00016723987209843472,0.00041618021350586787
37,6.361952000588644e-05,0.00016932376456679776,0.0004195883811917156
38,6.148092688817997e-05,0.00016408118972321972,0.0004161286778980866
