iteration,L2O_q25,L2O_q50,L2O_q75
1,1.0,1.0,1.0
2,0.3704119846224785,0.4573716074228287,0.5306685864925385
3,0.16882650554180145,0.2366117388010025,0.3138422891497612
4,0.09037737548351288,0.13357779383659363,0.19589552283287048
5,0.05474060866981745,0.08483300730586052,0.13025489449501038
6,0.036040118895471096,0.05795663222670555,0.09477570466697216
7,0.0283775613643229,0.04520078934729099,0.08211746998131275
8,0.024689439218491316,0.04329019412398338,0.07476876303553581
9,0.02159978449344635,0.038248151540756226,0.07151799835264683
10,0.021219268906861544,0.03624502755701542,0.07273694314062595
11,0.020168402697890997,0.03652454353868961,0.06587035022675991
12,0.01866425620391965,0.0346760880202055,0.06061578541994095
13,0.019325511530041695,0.03456040099263191,0.06385183148086071
14,0.019141959492117167,0.03337419778108597,0.060345408506691456
15,0.018486903980374336,0.03448781557381153,0.0644227322191
16,0.018214944750070572,0.03306299261748791,0.061127617955207825
17,0.018321597948670387,0.032673049718141556,0.06101294979453087
18,0.01765725389122963,0.03265617601573467,0.06403513252735138
19,0.01761877490207553,0.03412356227636337,0.06104526948183775
20,0.01847284333780408,0.03317085653543472,0.06287452392280102
21,0.01741765020415187,0.032122597098350525,0.059349638409912586
22,0.018180781044065952,0.03149818442761898,0.060084098018705845
23,0.018442641478031874,0.03250884264707565,0.05888888891786337
24,0.016913944389671087,0.03080728556960821,0.0612623356282711
25,0.017955480609089136,0.0326275359839201,0.06097795441746712
26,0.01689839130267501,0.03046269528567791,0.06292812712490559
27,0.01740097627043724,0.03268775716423988,0.06146009359508753
28,0.018348808400332928,0.032086508348584175,0.061117688193917274
29,0.01862645521759987,0.03248360939323902,0.06048519257456064
30,0.01757454639300704,0.03196639567613602,0.06254374980926514
31,0.017164088785648346,0.03137710876762867,0.06275500543415546
32,0.018131041899323463,0.031559331342577934,0.061371251940727234
33,0.01772624347358942,0.031794823706150055,0.0598288020119071
34,0.017862611450254917,0.031579406931996346,0.059687960892915726
35,0.017362243961542845,0.03226705081760883,0.060441105626523495
36,0.017503542359918356,0.030664446763694286,0.058072442188858986
